symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin
BNB,conservative,long,2025-08-13 03:40:00,2025-08-13 18:40:00,839.41,839.41,0.26664,stop,breakout,True,180,1,7.0,0.017868916858130947,0.1178582908365652,0.1487817091634348,3.71954272908587,3.71954272908587,BNB
BNB,conservative,long,2025-08-17 07:10:00,2025-08-17 18:50:00,852.0,852.0,0.26664,stop,breakout,True,140,1,7.0,0.013076375915084116,0.15493589455951087,0.11170410544048912,2.792602636012228,6.512145365098098,BNB
BNB,conservative,long,2025-09-11 22:20:00,2025-09-13 10:20:00,899.77,941.09,3.2479170579768644,max_hold_time,breakout,True,432,1,7.0,0.010269680229650541,0.2541461799817708,2.9937708779950936,74.84427194987734,81.35641731497543,BNB
BNB,conservative,short,2025-09-25 12:25:00,2025-09-27 00:25:00,981.02,959.25,0.967740020585692,max_hold_time,breakout,True,432,1,7.0,0.02110236073840577,0.12368284441512106,0.8440571761705709,21.101429404264273,102.45784671923971,BNB
BNB,conservative,long,2025-10-13 06:10:00,2025-10-13 10:30:00,1313.03,1313.03,0.26664,stop,breakout,True,52,1,7.0,0.028991142624311614,0.06381259352118854,0.20282740647881145,5.070685161970286,107.52853188121,BNB
BNB,conservative,long,2025-10-26 00:25:00,2025-10-27 12:25:00,1119.17,1173.21,3.0061473101604372,max_hold_time,breakout,True,432,1,7.0,0.011751066167850226,0.2221075060525747,2.7840398041078624,69.60099510269656,177.12952698390654,BNB
BNB,conservative,short,2025-11-04 14:25:00,2025-11-05 02:55:00,942.0,942.0,0.26664,stop,breakout,True,150,1,7.0,0.033476988379710276,0.061116608722188374,0.2055233912778116,5.13808478194529,182.26761176585183,BNB
BNB,conservative,short,2025-11-12 07:40:00,2025-11-12 09:10:00,956.22,966.6657,-1.0,stop,breakout,True,18,0,7.0,0.010923950555311526,0.10911803325770426,-1.1091180332577042,-27.727950831442605,154.53966093440923,BNB
BNB,conservative,long,2025-11-16 10:40:00,2025-11-16 11:50:00,948.14,933.143366791188,-1.0,stop,breakout,True,14,0,7.0,0.015816897513881916,0.07485665244785497,-1.0748566524478549,-26.871416311196374,127.66824462321286,BNB
BNB,conservative,short,2025-11-21 02:10:00,2025-11-22 14:10:00,865.1,824.0,1.505099656220896,max_hold_time,breakout,True,432,1,7.0,0.025575498139256372,0.10205079822057722,1.4030488580003189,35.07622145000797,162.74446607322082,BNB
BNB,conservative,long,2025-11-26 16:10:00,2025-11-28 04:10:00,867.6,895.28,1.514527206464458,max_hold_time,breakout,True,432,1,7.0,0.01704518288366646,0.15312244038760253,1.3614047660768553,34.035119151921386,196.7795852251422,BNB
BNB,conservative,long,2025-12-03 01:25:00,2025-12-04 13:25:00,882.3,906.5,1.2339653651057643,max_hold_time,breakout,True,432,1,7.0,0.018904141784826002,0.1380649822514026,1.0959003828543616,27.39750957135904,224.17709479650125,BNB
BNB,conservative,short,2025-12-09 13:40:00,2025-12-09 15:40:00,882.99,894.3556532788367,-1.0,stop,breakout,True,24,0,7.0,0.012871780290645084,0.09353795456523134,-1.0935379545652313,-27.338448864130783,196.83864593237047,BNB
