symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,coin
BTC,ultra-short,long,2026-06-28 07:40:00,2026-06-28 16:25:00,60222.86,59795.304840000004,-1.0,stop,breakout,True,105,0,10.0,0.00709954924093602,0.1937165238702785,-1.1937165238702785,BTC
BTC,ultra-short,long,2026-06-28 16:30:00,2026-06-28 22:40:00,59649.25,59214.86305816813,-1.0,stop,mean_reversion,False,74,0,10.0,0.007282353790397563,0.17991435704862574,-1.1799143570486257,BTC
BTC,ultra-short,short,2026-06-28 23:10:00,2026-06-29 03:00:00,59267.94,59815.585829257376,-1.0,stop,trend_following,False,46,0,10.0,0.009240169799344694,0.1354304116888359,-1.1354304116888359,BTC
BTC,ultra-short,short,2026-06-29 14:25:00,2026-06-29 17:10:00,59510.0,60274.41167529197,-1.0,stop,trend_following,False,33,0,10.0,0.012845096207225216,0.09529706747633841,-1.0952970674763385,BTC
BTC,ultra-short,short,2026-06-29 17:25:00,2026-06-29 21:50:00,60544.01,60544.01,0.26664,stop,mean_reversion,False,53,1,10.0,0.004911147609813098,0.37793610525802074,-0.11129610525802075,BTC
BTC,ultra-short,long,2026-06-29 21:55:00,2026-06-30 00:35:00,60479.72,59732.30998745017,-1.0,stop,trend_following,False,32,0,10.0,0.012358026997311327,0.09888309843196365,-1.0988830984319637,BTC
BTC,ultra-short,long,2026-06-30 00:40:00,2026-06-30 12:00:00,59778.41,59097.59922387285,-1.0,stop,mean_reversion,False,136,0,10.0,0.011388907401972603,0.12647394075313292,-1.126473940753133,BTC
BTC,ultra-short,short,2026-06-30 12:05:00,2026-07-01 02:40:00,59053.12,59053.12,0.26664,stop,breakout,True,175,1,10.0,0.008818607918187324,0.23952760113573413,0.027112398864265863,BTC
BTC,ultra-short,short,2026-07-01 02:45:00,2026-07-01 04:40:00,59080.37,59335.876599999996,-1.0,stop,mean_reversion,False,23,0,10.0,0.0043247291782362455,0.2781908300881537,-1.2781908300881537,BTC
BTC,ultra-short,short,2026-07-01 04:45:00,2026-07-01 13:50:00,59391.32,59391.32,0.26664,stop,mean_reversion,False,109,1,10.0,0.01097612827120327,0.17981750497378537,0.08682249502621461,BTC
BTC,ultra-short,short,2026-07-01 14:10:00,2026-07-01 21:30:00,59978.01,60623.097875110754,-1.0,stop,mean_reversion,False,88,0,10.0,0.010755406441640062,0.12455131354345436,-1.1245513135434544,BTC
BTC,ultra-short,long,2026-07-01 22:25:00,2026-07-02 00:15:00,60555.06,59844.89484223969,-1.0,stop,trend_following,False,22,0,10.0,0.011727593990664104,0.10240804729052447,-1.1024080472905244,BTC
BTC,ultra-short,long,2026-07-02 00:20:00,2026-07-03 12:20:00,59854.01,61980.01,2.1214777671259406,max_hold_time,mean_reversion,False,432,1,10.0,0.012767166826850408,0.2077203216631136,1.913757445462827,BTC
BTC,ultra-short,long,2026-07-03 12:25:00,2026-07-05 00:25:00,61955.98,63053.21,1.6819867076330712,max_hold_time,trend_following,False,432,1,10.0,0.008342228063910766,0.3179006830888252,1.364086024544246,BTC
BTC,ultra-short,long,2026-07-05 01:40:00,2026-07-06 08:35:00,62870.0,62870.0,0.26664,stop,mean_reversion,False,371,1,10.0,0.00635383709429201,0.39722453732207796,-0.13058453732207798,BTC
BTC,ultra-short,short,2026-07-06 08:40:00,2026-07-06 15:40:00,62911.15,62911.15,0.26664,stop,breakout,True,84,1,10.0,0.007216193067100678,0.2662345619269718,0.0004054380730281748,BTC
BTC,ultra-short,short,2026-07-06 15:45:00,2026-07-06 15:55:00,62904.01,63522.00781625347,-1.0,stop,mean_reversion,False,2,0,10.0,0.009824458190399435,0.12010840467040804,-1.120108404670408,BTC
BTC,ultra-short,long,2026-07-06 18:55:00,2026-07-07 02:20:00,63696.4,63696.4,0.26664,stop,trend_following,False,89,1,10.0,0.011105074135929411,0.17394751051234936,0.09269248948765063,BTC
BTC,ultra-short,long,2026-07-07 02:25:00,2026-07-07 05:10:00,63570.01,62901.368230076696,-1.0,stop,mean_reversion,False,33,0,10.0,0.010518195135147942,0.11637928221254498,-1.116379282212545,BTC
BTC,ultra-short,long,2026-07-07 05:15:00,2026-07-08 02:05:00,62884.01,62884.01,0.26664,stop,mean_reversion,False,250,1,10.0,0.010224052794295746,0.222005895868063,0.044634104131937,BTC
BTC,ultra-short,long,2026-07-08 02:10:00,2026-07-08 05:45:00,62888.0,62608.718609999996,-1.0,stop,mean_reversion,False,43,0,10.0,0.0044409329283806726,0.28036901706912504,-1.280369017069125,BTC
BTC,ultra-short,short,2026-07-08 05:55:00,2026-07-09 06:00:00,62637.88,62637.88,0.26664,stop,breakout,True,289,1,10.0,0.010595931998560149,0.22194366671280694,0.04469633328719305,BTC
BTC,ultra-short,short,2026-07-09 06:25:00,2026-07-10 01:45:00,62822.0,63414.128642590695,-1.0,stop,mean_reversion,False,232,0,10.0,0.009425498115161801,0.1742082996503589,-1.1742082996503589,BTC
BTC,ultra-short,long,2026-07-10 01:50:00,2026-07-10 18:50:00,63819.72,63819.72,0.26664,stop,breakout,True,204,1,10.0,0.008315437034565044,0.26134525352865884,0.00529474647134115,BTC
BTC,ultra-short,short,2026-07-10 18:55:00,2026-07-11 14:25:00,63810.0,64377.52020394806,-1.0,stop,breakout,True,234,0,10.0,0.008893906973014532,0.185093008617565,-1.185093008617565,BTC
BTC,ultra-short,long,2026-07-11 14:55:00,2026-07-11 23:20:00,64350.07,64045.28811907707,-1.0,stop,trend_following,False,101,0,10.0,0.004736310013694288,0.2886001963654883,-1.2886001963654883,BTC
BTC,ultra-short,long,2026-07-11 23:55:00,2026-07-12 06:05:00,63819.0,63819.0,0.26664,stop,mean_reversion,False,74,1,10.0,0.005217426098792457,0.3642025711566457,-0.09756257115664574,BTC
BTC,ultra-short,short,2026-07-12 06:55:00,2026-07-12 12:10:00,63762.46,64100.84099946367,-1.0,stop,breakout,True,63,0,10.0,0.005306900007679575,0.24253330534538947,-1.2425333053453895,BTC
BTC,ultra-short,long,2026-07-12 15:40:00,2026-07-12 22:00:00,64152.9,63829.614239725146,-1.0,stop,trend_following,False,76,0,10.0,0.005039300799727766,0.2608298357722577,-1.2608298357722578,BTC
BTC,ultra-short,long,2026-07-12 22:25:00,2026-07-13 00:35:00,63826.0,63826.0,0.26664,stop,mean_reversion,False,26,1,10.0,0.00389826763387953,0.4615896518652438,-0.19494965186524382,BTC
BTC,ultra-short,short,2026-07-13 01:55:00,2026-07-14 12:30:00,63412.01,63412.01,0.26664,stop,breakout,True,415,1,10.0,0.006577651811220993,0.3977559279645638,-0.13111592796456384,BTC
BTC,ultra-short,short,2026-07-14 12:40:00,2026-07-14 13:20:00,63554.22,63985.79055105514,-1.0,stop,mean_reversion,False,8,0,10.0,0.006790588430715404,0.1737699187691286,-1.1737699187691286,BTC
BTC,ultra-short,short,2026-07-14 13:25:00,2026-07-14 14:55:00,63958.68,64305.02,-0.6531664384437535,reversal,mean_reversion,False,18,0,10.0,0.008290472808291843,0.14385186799083435,-0.7970183064345879,BTC
