symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,coin
BTC,conservative,short,2025-08-01 00:40:00,2025-08-01 12:30:00,115517.98,115517.98,0.26664,stop,breakout,True,142,1,7.0,0.010044882089707892,0.202092964543602,0.06454703545639798,BTC
BTC,conservative,short,2025-08-02 06:40:00,2025-08-03 03:20:00,113554.89,113554.89,0.26664,stop,breakout,True,248,1,7.0,0.0112737711038144,0.19886868194808704,0.06777131805191294,BTC
BTC,conservative,long,2025-08-12 20:40:00,2025-08-14 08:40:00,120034.51,121696.21,1.1414515117801256,max_hold_time,breakout,True,432,1,7.0,0.010550242975563312,0.247387667378404,0.8940638444017216,BTC
BTC,conservative,short,2025-08-15 19:55:00,2025-08-17 07:55:00,116936.27,118005.98,-0.8322340893634903,max_hold_time,breakout,True,432,0,7.0,0.01099186328225136,0.183772300303417,-1.0160063896669074,BTC
BTC,conservative,short,2025-08-19 23:40:00,2025-08-20 15:15:00,112964.0,114119.09283072918,-1.0,stop,breakout,True,187,0,7.0,0.01022531807238745,0.1496285972884919,-1.1496285972884919,BTC
BTC,conservative,short,2025-08-21 15:10:00,2025-08-22 14:00:00,112700.03,112700.03,0.26664,stop,breakout,True,274,1,7.0,0.010040116670050094,0.22848340068029852,0.03815659931970147,BTC
BTC,conservative,short,2025-08-26 15:40:00,2025-08-26 19:15:00,109599.99,110929.4186,-1.0,stop,breakout,True,43,0,7.0,0.012129824099436498,0.10239225151316896,-1.102392251513169,BTC
BTC,conservative,long,2025-09-02 06:40:00,2025-09-02 12:40:00,110424.04,109190.28678908669,-1.0,stop,breakout,True,72,0,7.0,0.011172867891025385,0.11635329556203078,-1.1163532955620308,BTC
BTC,conservative,long,2025-09-03 15:40:00,2025-09-04 04:50:00,112320.01,111093.54762878812,-1.0,stop,breakout,True,158,0,7.0,0.010919357745889422,0.1348064633704425,-1.1348064633704424,BTC
BTC,conservative,short,2025-09-26 11:05:00,2025-09-26 17:25:00,108803.85,109908.63884,-1.0,stop,breakout,True,76,0,7.0,0.0101539498832072,0.12881686585465582,-1.1288168658546558,BTC
BTC,conservative,long,2025-10-02 15:55:00,2025-10-03 01:50:00,119910.78,119910.78,0.26664,stop,breakout,True,119,1,7.0,0.010279795554834414,0.19299994726713784,0.07364005273286214,BTC
BTC,conservative,long,2025-10-06 16:40:00,2025-10-07 06:25:00,125209.99,123949.65548089496,-1.0,stop,breakout,True,165,0,7.0,0.010065766470431366,0.14762909554530107,-1.147629095545301,BTC
BTC,conservative,short,2025-10-09 08:40:00,2025-10-09 11:20:00,121330.12,122553.48906243271,-1.0,stop,breakout,True,32,0,7.0,0.010082979085759692,0.12099598636706688,-1.1209959863670669,BTC
BTC,conservative,short,2025-10-11 16:40:00,2025-10-12 04:45:00,111516.51,111516.51,0.26664,stop,breakout,True,145,1,7.0,0.01721002916967188,0.11830311151290268,0.1483368884870973,BTC
BTC,conservative,long,2025-10-13 20:55:00,2025-10-14 02:15:00,115713.37,114029.22686483161,-1.0,stop,breakout,True,64,0,7.0,0.014554438568061634,0.08822051046459595,-1.088220510464596,BTC
BTC,conservative,short,2025-10-15 15:40:00,2025-10-17 03:40:00,110732.0,108910.45,0.959997669396941,max_hold_time,breakout,True,432,1,7.0,0.015817618039459747,0.16500588100489655,0.7949917883920444,BTC
BTC,conservative,long,2025-10-20 20:55:00,2025-10-21 02:00:00,111091.46,109745.97417,-1.0,stop,breakout,True,61,0,7.0,0.012111514512456718,0.10551942110010885,-1.105519421100109,BTC
BTC,conservative,short,2025-10-22 10:55:00,2025-10-22 14:55:00,107657.98,108786.88821,-1.0,stop,breakout,True,48,0,7.0,0.01048606159989263,0.11939659023296408,-1.1193965902329641,BTC
BTC,conservative,short,2025-10-22 20:25:00,2025-10-23 06:15:00,107632.58,109273.04388,-1.0,stop,breakout,True,118,0,7.0,0.01524133194614489,0.09133060056159262,-1.0913306005615926,BTC
BTC,conservative,long,2025-10-23 15:55:00,2025-10-23 20:10:00,109908.28,109908.28,0.26664,stop,breakout,True,51,1,7.0,0.01211233330191312,0.15257175920911226,0.11406824079088773,BTC
BTC,conservative,long,2025-10-24 09:25:00,2025-10-24 14:20:00,111426.52,110103.74677112064,-1.0,stop,breakout,True,59,0,7.0,0.011871260350582277,0.10731800688184817,-1.1073180068818482,BTC
BTC,conservative,long,2025-10-24 21:40:00,2025-10-26 09:40:00,111018.59,112332.0,0.9331182409957305,max_hold_time,breakout,True,432,1,7.0,0.011834477579455452,0.22054205455853299,0.7125761864371976,BTC
BTC,conservative,short,2025-10-29 14:15:00,2025-10-31 02:15:00,112475.74,109237.22,2.134079541387376,max_hold_time,breakout,True,432,1,7.0,0.01027949143590651,0.25390361150389285,1.8801759298834833,BTC
BTC,conservative,short,2025-11-04 16:10:00,2025-11-05 13:50:00,103078.91,103078.91,0.26664,stop,breakout,True,260,1,7.0,0.019347538634144238,0.11712084120100932,0.14951915879899066,BTC
BTC,conservative,short,2025-11-06 12:55:00,2025-11-07 17:30:00,102552.38,102552.38,0.26664,stop,breakout,True,343,1,7.0,0.014157618494645054,0.17178030336951616,0.09485969663048383,BTC
BTC,conservative,short,2025-11-08 15:25:00,2025-11-09 13:45:00,101591.92,102856.75897917664,-1.0,stop,breakout,True,268,0,7.0,0.012450192684385122,0.13590151115669763,-1.1359015111566977,BTC
BTC,conservative,long,2025-11-10 20:40:00,2025-11-11 07:45:00,106255.61,104847.98728591457,-1.0,stop,breakout,True,133,0,7.0,0.013247514310871978,0.10734089178020303,-1.107340891780203,BTC
