symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin
BTC,conservative,short,2025-07-31 23:25:00,2025-08-02 11:25:00,116040.21,113860.0,1.3078102306497827,max_hold_time,breakout,True,432,1,7.0,0.012030911556746474,0.21694116756567894,1.0908690630841038,27.271726577102594,27.271726577102594,BTC
BTC,conservative,long,2025-08-06 17:25:00,2025-08-08 05:25:00,115360.0,116658.1,0.890711671094452,max_hold_time,breakout,True,432,1,7.0,0.01202122951153759,0.21711589463415581,0.6735957764602962,16.839894411507405,44.11162098861,BTC
BTC,conservative,long,2025-08-11 06:10:00,2025-08-11 11:25:00,122094.57,120641.94842718424,-1.0,stop,breakout,True,63,0,7.0,0.011897511681443077,0.10775362397832951,-1.1077536239783294,-27.693840599458238,16.417780389151762,BTC
BTC,conservative,long,2025-08-12 20:40:00,2025-08-14 08:40:00,120034.51,121696.21,0.9664892094241021,max_hold_time,breakout,True,432,1,7.0,0.01318780371945411,0.19791013390272366,0.7685790755213784,19.21447688803446,35.63225727718623,BTC
BTC,conservative,short,2025-08-15 19:40:00,2025-08-17 07:40:00,116985.3,117987.36,-0.6166076165534763,max_hold_time,breakout,True,432,0,7.0,0.013891640902474635,0.1454111875034259,-0.7620188040569023,-19.050470101422555,16.581787175763672,BTC
BTC,conservative,short,2025-08-19 02:55:00,2025-08-19 13:25:00,115747.08,115747.08,0.26664,stop,breakout,True,126,1,7.0,0.01166249723103161,0.17131836864953034,0.09532163135046964,2.383040783761741,18.964827959525415,BTC
BTC,conservative,short,2025-08-19 14:10:00,2025-08-21 02:10:00,114797.22,114254.14,0.5321291334103943,max_hold_time,breakout,True,432,1,7.0,0.011879991871555211,0.21969712001649078,0.3124320133939035,7.8108003348475865,26.775628294373,BTC
BTC,conservative,short,2025-08-21 08:55:00,2025-08-22 14:00:00,113588.45,113588.45,0.26664,stop,breakout,True,349,1,7.0,0.011868563749219255,0.20592213612710913,0.060717863872890854,1.5179465968222714,28.29357489119527,BTC
BTC,conservative,short,2025-08-26 00:40:00,2025-08-26 20:25:00,109218.28,111289.51209491448,-1.0,stop,breakout,True,237,0,7.0,0.018964152291305793,0.0859516404931678,-1.0859516404931677,-27.148791012329195,1.1447838788660754,BTC
BTC,conservative,long,2025-08-27 18:10:00,2025-08-28 00:30:00,112477.15,110953.27318480166,-1.0,stop,breakout,True,76,0,7.0,0.013548323505692834,0.09654331028118682,-1.0965433102811868,-27.41358275702967,-26.268798878163594,BTC
BTC,conservative,long,2025-08-28 12:55:00,2025-08-29 01:15:00,113239.44,111874.54294598705,-1.0,stop,breakout,True,148,0,7.0,0.012053195017680696,0.12046598415358564,-1.1204659841535856,-28.01164960383964,-54.28044848200324,BTC
BTC,conservative,long,2025-09-02 06:40:00,2025-09-02 12:40:00,110424.04,108881.84848635836,-1.0,stop,breakout,True,72,0,7.0,0.013966084863781796,0.0930826364496242,-1.0930826364496242,-27.327065911240606,-81.60751439324385,BTC
BTC,conservative,long,2025-09-03 13:40:00,2025-09-04 06:20:00,111673.44,110418.18129000001,-1.0,stop,breakout,True,200,0,7.0,0.011240440967879154,0.1384287328625672,-1.1384287328625673,-28.460718321564183,-110.06823271480803,BTC
BTC,conservative,short,2025-09-04 15:55:00,2025-09-04 22:30:00,109510.31,110835.61676077869,-1.0,stop,breakout,True,79,0,7.0,0.012102118611285954,0.108576030545149,-1.108576030545149,-27.714400763628728,-137.78263347843676,BTC
BTC,conservative,short,2025-09-06 05:55:00,2025-09-07 17:55:00,110714.0,110962.83,-0.19086508749367764,max_hold_time,breakout,True,432,0,7.0,0.011775346679233073,0.17154484322423041,-0.36240993071790806,-9.060248267947701,-146.84288174638448,BTC
BTC,conservative,short,2025-09-10 00:30:00,2025-09-10 07:45:00,111172.08,112311.96252429571,-1.0,stop,breakout,True,87,0,7.0,0.010253316518821182,0.12971412689334488,-1.1297141268933448,-28.24285317233362,-175.0857349187181,BTC
BTC,conservative,long,2025-09-11 21:40:00,2025-09-13 09:40:00,114514.83,115910.37,1.0710856894795473,max_hold_time,breakout,True,432,1,7.0,0.010099835087616246,0.25842006105626525,0.812665628423282,20.31664071058205,-154.76909420813604,BTC
BTC,conservative,long,2025-09-16 20:40:00,2025-09-17 14:25:00,116874.07,115691.52291339773,-1.0,stop,breakout,True,213,0,7.0,0.010118130451025454,0.1563529950179351,-1.1563529950179352,-28.90882487544838,-183.6779190835844,BTC
BTC,conservative,short,2025-09-23 02:25:00,2025-09-23 09:05:00,112020.12,113180.01410150029,-1.0,stop,breakout,True,80,0,7.0,0.010354337252096257,0.12709649762794553,-1.1270964976279456,-28.17741244069864,-211.85533152428306,BTC
BTC,conservative,short,2025-09-23 17:40:00,2025-09-24 14:35:00,112034.51,113178.89323177963,-1.0,stop,breakout,True,251,0,7.0,0.010214560065283753,0.16231731855344883,-1.1623173185534488,-29.05793296383622,-240.91326448811927,BTC
BTC,conservative,short,2025-09-25 06:25:00,2025-09-26 18:25:00,111699.98,110192.13,1.037204143475174,max_hold_time,breakout,True,432,1,7.0,0.011679565966095566,0.22346720824870797,0.8137369352264661,20.34342338066165,-220.56984110745762,BTC
BTC,conservative,long,2025-10-01 13:55:00,2025-10-01 17:55:00,116806.96,116806.96,0.26664,stop,breakout,True,48,1,7.0,0.011757282907217094,0.15666885066355818,0.10997114933644181,2.749278733411045,-217.82056237404657,BTC
BTC,conservative,long,2025-10-01 23:10:00,2025-10-03 11:10:00,117946.47,120289.0,1.4333249173533906,max_hold_time,breakout,True,432,1,7.0,0.011349509315539548,0.22996588904741758,1.203359028305973,30.083975707649323,-187.73658666639724,BTC
BTC,conservative,long,2025-10-03 14:55:00,2025-10-05 02:55:00,120917.85,124031.44,1.8752230954003841,max_hold_time,breakout,True,432,1,7.0,0.010672298455117442,0.24455837802666458,1.6306647173737194,40.76661793434299,-146.96996873205427,BTC
BTC,conservative,long,2025-10-06 10:25:00,2025-10-07 06:20:00,124096.5,124096.5,0.26664,stop,breakout,True,239,1,7.0,0.011757484382635042,0.18915610921709478,0.07748389078290521,1.9370972695726303,-145.03287146248164,BTC
BTC,conservative,short,2025-10-09 08:40:00,2025-10-09 12:00:00,121330.12,122859.33132804089,-1.0,stop,breakout,True,40,0,7.0,0.012603723857199645,0.0980662551801274,-1.0980662551801275,-27.451656379503188,-172.48452784198483,BTC
BTC,conservative,short,2025-10-09 16:40:00,2025-10-11 04:40:00,120815.97,112110.48,3.1176153436854195,max_hold_time,breakout,True,432,1,7.0,0.0168502314129456,0.15489401516437357,2.962721328521046,74.06803321302615,-98.41649462895867,BTC
BTC,conservative,short,2025-10-11 15:55:00,2025-10-12 05:50:00,111793.2,111793.2,0.26664,stop,breakout,True,167,1,7.0,0.014692417696246315,0.14156962067117163,0.12507037932882836,3.126759483220709,-95.28973514573796,BTC
BTC,conservative,long,2025-10-13 07:55:00,2025-10-14 04:35:00,115399.67,113224.22395364856,-1.0,stop,breakout,True,248,0,7.0,0.018851406129250115,0.08763272026889989,-1.0876327202688998,-27.190818006722495,-122.48055315246046,BTC
BTC,conservative,short,2025-10-14 06:10:00,2025-10-14 15:50:00,112552.85,112552.85,0.26664,stop,breakout,True,116,1,7.0,0.016945363872534158,0.11672809240797923,0.14991190759202078,3.747797689800519,-118.73275546265994,BTC
BTC,conservative,short,2025-10-15 15:10:00,2025-10-17 03:10:00,110838.61,109047.49,0.812059796902745,max_hold_time,breakout,True,432,1,7.0,0.019753004850311826,0.1321317956320351,0.6799280012707098,16.998200031767745,-101.73455543089219,BTC
BTC,conservative,short,2025-10-17 06:10:00,2025-10-18 18:10:00,108329.53,106735.78,0.7724550192070756,max_hold_time,breakout,True,432,1,7.0,0.019391529856968803,0.13459484729937565,0.6378601719077,15.946504297692499,-85.78805113319969,BTC
BTC,conservative,long,2025-10-20 20:55:00,2025-10-21 02:00:00,111091.46,109745.97417,-1.0,stop,breakout,True,61,0,7.0,0.012111514512456718,0.10551942110010885,-1.105519421100109,-27.637985527502725,-113.42603666070241,BTC
BTC,conservative,short,2025-10-22 10:55:00,2025-10-22 14:55:00,107657.98,108786.88821,-1.0,stop,breakout,True,48,0,7.0,0.01048606159989263,0.11939659023296408,-1.1193965902329641,-27.984914755824104,-141.4109514165265,BTC
BTC,conservative,short,2025-10-22 20:25:00,2025-10-23 06:15:00,107632.58,109273.04388,-1.0,stop,breakout,True,118,0,7.0,0.01524133194614489,0.09133060056159262,-1.0913306005615926,-27.283265014039813,-168.6942164305663,BTC
BTC,conservative,long,2025-10-23 15:55:00,2025-10-23 20:10:00,109908.28,109908.28,0.26664,stop,breakout,True,51,1,7.0,0.01211233330191312,0.15257175920911226,0.11406824079088773,2.8517060197721933,-165.84251041079412,BTC
BTC,conservative,long,2025-10-24 09:25:00,2025-10-25 21:25:00,111426.52,111401.94,-0.01486573780802974,max_hold_time,breakout,True,432,0,7.0,0.014839075438227748,0.13612707937289464,-0.1509928171809244,-3.7748204295231096,-169.61733084031724,BTC
BTC,conservative,short,2025-10-29 14:15:00,2025-10-31 02:15:00,112475.74,109237.22,1.977507064364284,max_hold_time,breakout,True,432,1,7.0,0.011220233981123246,0.23261546990829468,1.7448915944559893,43.622289861399736,-125.9950409789175,BTC
BTC,conservative,short,2025-11-04 13:25:00,2025-11-05 15:55:00,103685.54,103685.54,0.26664,stop,breakout,True,318,1,7.0,0.02167317004992559,0.10990547273485625,0.15673452726514375,3.9183631816285938,-122.07667779728891,BTC
BTC,conservative,short,2025-11-06 12:25:00,2025-11-07 18:15:00,102802.7,102802.7,0.26664,stop,breakout,True,358,1,7.0,0.017235671044379626,0.14284329247527805,0.12379670752472194,3.0949176881180485,-118.98176010917086,BTC
BTC,conservative,short,2025-11-08 15:25:00,2025-11-09 14:15:00,101591.92,103172.9687239708,-1.0,stop,breakout,True,274,0,7.0,0.015562740855481438,0.10949228132908381,-1.1094922813290837,-27.737307033227093,-146.71906714239796,BTC
BTC,conservative,long,2025-11-10 20:10:00,2025-11-11 12:45:00,106235.64,104562.333,-1.0,stop,breakout,True,199,0,7.0,0.015750900545240757,0.09866102547828935,-1.0986610254782894,-27.466525636957233,-174.1855927793552,BTC
BTC,conservative,short,2025-11-11 20:40:00,2025-11-12 09:10:00,102829.76,104618.00777116943,-1.0,stop,breakout,True,150,0,7.0,0.017390371923161518,0.0837244888397593,-1.0837244888397592,-27.09311222099398,-201.2787050003492,BTC
BTC,conservative,short,2025-11-13 15:40:00,2025-11-15 03:40:00,101593.75,96316.02,1.9347331297104127,max_hold_time,breakout,True,432,1,7.0,0.02076301123457495,0.12570430996318008,1.8090288197472326,45.22572049368082,-156.05298450666837,BTC
BTC,conservative,short,2025-11-15 11:55:00,2025-11-16 23:55:00,95696.87,94261.44,1.0342941555931784,max_hold_time,breakout,True,432,1,7.0,0.013027141640055731,0.2003509343887685,0.8339432212044099,20.848580530110247,-135.20440397655813,BTC
BTC,conservative,short,2025-11-17 18:55:00,2025-11-18 15:20:00,92549.01,92549.01,0.26664,stop,breakout,True,245,1,7.0,0.026117280040284005,0.08561381570175504,0.18102618429824496,4.525654607456124,-130.678749369102,BTC
BTC,conservative,short,2025-11-19 14:25:00,2025-11-19 23:05:00,91121.93,91121.93,0.26664,stop,breakout,True,104,1,7.0,0.021176873277252095,0.09227046761898319,0.1743695323810168,4.35923830952542,-126.31951105957658,BTC
BTC,conservative,short,2025-11-22 04:25:00,2025-11-23 01:35:00,84000.72,85705.62,-1.0,stop,breakout,True,254,0,7.0,0.0202962546035319,0.08198556987506626,-1.0819855698750662,-27.049639246876655,-153.36915030645324,BTC
BTC,conservative,long,2025-11-23 12:10:00,2025-11-24 00:05:00,86597.45,86597.45,0.26664,stop,breakout,True,143,1,7.0,0.018058842026833943,0.11252105738455524,0.15411894261544473,3.8529735653861183,-149.5161767410671,BTC
BTC,conservative,long,2025-11-26 21:25:00,2025-11-28 09:25:00,90270.0,91630.79,0.7577347814967896,max_hold_time,breakout,True,432,1,7.0,0.020465049647514885,0.12753450614359677,0.6302002753531929,15.755006883829822,-133.7611698572373,BTC
BTC,conservative,long,2025-11-28 10:55:00,2025-11-28 16:20:00,91850.49,91850.49,0.26664,stop,breakout,True,65,1,7.0,0.012956297975932698,0.1447944469542775,0.12184555304572248,3.046138826143062,-130.71503103109424,BTC
BTC,conservative,long,2025-11-30 16:55:00,2025-11-30 23:15:00,91825.18,90880.34893667314,-1.0,stop,breakout,True,76,0,7.0,0.010289455063707533,0.12712043464901404,-1.127120434649014,-28.17801086622535,-158.8930418973196,BTC
BTC,conservative,long,2025-12-03 01:25:00,2025-12-03 14:00:00,91902.28,91902.28,0.26664,stop,breakout,True,151,1,7.0,0.02218096022178741,0.09233144009646332,0.17430855990353666,4.357713997588417,-154.5353278997312,BTC
BTC,conservative,long,2025-12-03 21:40:00,2025-12-04 19:10:00,93489.64,91605.303,-1.0,stop,breakout,True,258,0,7.0,0.020155570178685033,0.08295473584608276,-1.0829547358460827,-27.07386839615207,-181.60919629588327,BTC
BTC,conservative,short,2025-12-06 08:55:00,2025-12-07 15:55:00,89277.14,89277.14,0.26664,stop,breakout,True,372,1,7.0,0.014639467301666237,0.1700881561255028,0.0965518438744972,2.4137960968624297,-179.19540019902084,BTC
BTC,conservative,long,2025-12-10 06:55:00,2025-12-10 20:50:00,92700.0,92700.0,0.26664,stop,breakout,True,167,1,7.0,0.016192911731269573,0.12845126525227601,0.13818873474772397,3.4547183686930993,-175.74068183032773,BTC
BTC,conservative,short,2025-12-11 12:55:00,2025-12-11 20:40:00,90032.31,91461.00871200119,-1.0,stop,breakout,True,93,0,7.0,0.015868733258106907,0.08456881706763887,-1.0845688170676389,-27.11422042669097,-202.8549022570187,BTC
BTC,conservative,short,2025-12-13 01:40:00,2025-12-14 13:40:00,90148.08,89276.44,0.6734780560920324,max_hold_time,breakout,True,432,1,7.0,0.015844901917270532,0.16472175174244327,0.5087563043495891,12.718907608739727,-190.13599464827897,BTC
BTC,conservative,short,2025-12-17 09:25:00,2025-12-17 14:15:00,86336.08,87828.27706401666,-1.0,stop,breakout,True,58,0,7.0,0.017283586005024255,0.07359583824966855,-1.0735958382496686,-26.839895956241715,-216.97589060452069,BTC
BTC,conservative,short,2025-12-18 20:55:00,2025-12-19 03:25:00,84582.65,86956.21810239865,-1.0,stop,breakout,True,78,0,7.0,0.028062115604070747,0.046753424385782186,-1.0467534243857821,-26.168835609644553,-243.14472621416525,BTC
BTC,conservative,long,2025-12-19 11:10:00,2025-12-20 23:10:00,88337.97,88330.33,-0.004053139815957159,max_hold_time,breakout,True,432,0,7.0,0.021338031813449437,0.09466665049804579,-0.09871979031400295,-2.467994757850074,-245.61272097201532,BTC
BTC,conservative,short,2025-12-23 14:40:00,2025-12-25 02:40:00,87431.82,87903.58,-0.4118169692643282,max_hold_time,breakout,True,432,0,7.0,0.013102294529091996,0.15417146939529136,-0.5659884386596196,-14.149710966490488,-259.7624319385058,BTC
BTC,conservative,short,2025-12-27 00:10:00,2025-12-28 12:10:00,87321.02,87847.17,-0.46130357301393643,max_hold_time,breakout,True,432,0,7.0,0.013061827867961678,0.15464910580813102,-0.6159526788220675,-15.398816970551687,-275.1612489090575,BTC
BTC,conservative,long,2025-12-30 15:55:00,2025-12-31 16:05:00,89016.35,87863.73521251052,-1.0,stop,breakout,True,290,0,7.0,0.012948349235724464,0.1340711443903892,-1.1340711443903893,-28.35177860975973,-303.51302751881724,BTC
BTC,conservative,short,2026-01-07 14:10:00,2026-01-09 02:10:00,91701.85,91441.34,0.3984805072639487,max_hold_time,breakout,True,432,1,7.0,0.014365736341452938,0.18168229862807206,0.21679820863587662,5.419955215896915,-298.09307230292035,BTC
BTC,conservative,short,2026-01-09 14:40:00,2026-01-09 15:25:00,90096.61,91274.99042625856,-1.0,stop,breakout,True,9,0,7.0,0.013079076185647404,0.09022043936825581,-1.0902204393682557,-27.255510984206392,-325.34858328712676,BTC
BTC,conservative,long,2026-01-13 05:10:00,2026-01-14 17:10:00,91747.94,97682.49,3.6019612665852607,max_hold_time,breakout,True,432,1,7.0,0.012929575123620063,0.2018627816494904,3.4000984849357705,85.00246212339427,-240.3461211637325,BTC
BTC,conservative,long,2026-01-15 14:10:00,2026-01-15 15:35:00,97139.27,95803.69121291122,-1.0,stop,breakout,True,17,0,7.0,0.013749112867420015,0.08655103870881964,-1.0865510387088197,-27.163775967720493,-267.509897131453,BTC
BTC,conservative,short,2026-01-20 08:40:00,2026-01-20 16:15:00,90855.29,90855.29,0.26664,stop,breakout,True,91,1,7.0,0.012022103280327077,0.1603712724008096,0.1062687275991904,2.65671818997976,-264.85317894147323,BTC
BTC,conservative,short,2026-01-23 15:10:00,2026-01-23 16:35:00,88821.92,89968.14956840883,-1.0,stop,breakout,True,17,0,7.0,0.012904805124780361,0.09221371330241251,-1.0922137133024126,-27.305342832560314,-292.15852177403355,BTC
BTC,conservative,short,2026-01-27 13:25:00,2026-01-27 20:15:00,87824.32,88845.25586571438,-1.0,stop,breakout,True,82,0,7.0,0.01162475115906818,0.11355081772828322,-1.1135508177282831,-27.83877044320708,-319.9972922172406,BTC
BTC,conservative,long,2026-01-27 23:25:00,2026-01-29 02:45:00,89502.7,88037.81005564057,-1.0,stop,breakout,True,328,0,7.0,0.01636699165901618,0.11071063257992271,-1.1107106325799228,-27.76776581449807,-347.7650580317387,BTC
BTC,conservative,short,2026-01-29 09:55:00,2026-01-30 21:55:00,87892.01,84273.7,2.173761670837498,max_hold_time,breakout,True,432,1,7.0,0.014391578469672395,0.18135606219290643,1.9924056086445914,49.81014021611478,-297.9549178156239,BTC
BTC,conservative,short,2026-02-01 14:10:00,2026-02-01 18:10:00,78188.32,78188.32,0.26664,stop,breakout,True,48,1,7.0,0.016819698901319173,0.10951444557997002,0.15712555442002996,3.928138860500749,-294.0267789551232,BTC
BTC,conservative,short,2026-02-03 16:25:00,2026-02-03 21:00:00,76693.53,76693.53,0.26664,stop,breakout,True,55,1,7.0,0.024294033606442424,0.07639735871229783,0.19024264128770216,4.756066032192554,-289.2707129229306,BTC
BTC,conservative,short,2026-02-04 11:10:00,2026-02-05 23:10:00,75817.36,64581.12,6.351449856870482,max_hold_time,breakout,True,432,1,7.0,0.01623812171777031,0.16073287572070155,6.19071698114978,154.76792452874452,-134.5027883941861,BTC
BTC,conservative,long,2026-02-08 19:55:00,2026-02-09 08:30:00,71422.97,69745.63698054431,-1.0,stop,breakout,True,151,0,7.0,0.023484503927177644,0.06208349150235688,-1.062083491502357,-26.552087287558923,-161.05487568174502,BTC
BTC,conservative,short,2026-02-10 06:10:00,2026-02-11 18:10:00,69340.46,66466.0,1.3024517475570778,max_hold_time,breakout,True,432,1,7.0,0.026682048793477343,0.09781857533511584,1.2046331722219619,30.115829305549045,-130.93904637619596,BTC
BTC,conservative,short,2026-02-12 18:25:00,2026-02-13 12:50:00,65304.01,67194.95676560893,-1.0,stop,breakout,True,221,0,7.0,0.028956058986407306,0.05518706812795695,-1.055187068127957,-26.379676703198925,-157.31872307939489,BTC
BTC,conservative,long,2026-02-14 00:40:00,2026-02-15 12:40:00,69026.69,70260.91,0.8702556997189639,max_hold_time,breakout,True,432,1,7.0,0.01974901589721765,0.13215848392565785,0.738097215793306,18.45243039483265,-138.86629268456224,BTC
BTC,conservative,short,2026-02-16 15:25:00,2026-02-16 20:45:00,68243.07,68243.07,0.26664,stop,breakout,True,64,1,7.0,0.013254070926176064,0.14139052148113626,0.12524947851886373,3.131236962971593,-135.73505572159064,BTC
BTC,conservative,long,2026-02-20 09:10:00,2026-02-20 13:20:00,68132.01,67120.50003889587,-1.0,stop,breakout,True,50,0,7.0,0.014846324966841906,0.08460006114679403,-1.084600061146794,-27.11500152866985,-162.85005725026048,BTC
BTC,conservative,long,2026-02-21 09:40:00,2026-02-22 14:40:00,68194.9,67467.15531,-1.0,stop,breakout,True,348,0,7.0,0.01067154127361419,0.1735456905910249,-1.1735456905910249,-29.338642264775622,-192.1886995150361,BTC
BTC,conservative,short,2026-02-24 13:25:00,2026-02-24 16:00:00,62920.29,64254.66940516393,-1.0,stop,breakout,True,31,0,7.0,0.02120745796250982,0.057432625925896416,-1.0574326259258964,-26.43581564814741,-218.6245151631835,BTC
BTC,conservative,short,2026-02-27 16:40:00,2026-02-28 18:50:00,65729.57,65729.57,0.26664,stop,breakout,True,314,1,7.0,0.02179732153144215,0.10891246415645876,0.1577275358435412,3.94318839608853,-214.68132676709496,BTC
BTC,conservative,short,2026-03-06 17:25:00,2026-03-08 05:25:00,68245.83,67126.61,0.719463435822151,max_hold_time,breakout,True,432,1,7.0,0.024145761231233177,0.10809350655815714,0.6113699292639938,15.284248231599845,-199.39707853549513,BTC
BTC,conservative,long,2026-03-10 00:40:00,2026-03-11 11:55:00,69195.56,69195.56,0.26664,stop,breakout,True,423,1,7.0,0.022438202469272184,0.11551727477054338,0.1511227252294566,3.7780681307364152,-195.6190104047587,BTC
BTC,conservative,long,2026-03-12 19:55:00,2026-03-14 07:55:00,70432.32,70596.68,0.3512166180811951,max_hold_time,breakout,True,432,1,7.0,0.01839519002071787,0.1418849164950428,0.20933170158615227,5.233292539653807,-190.3857178651049,BTC
BTC,conservative,long,2026-03-15 04:25:00,2026-03-16 16:25:00,71538.04,73413.67,1.8057876071966603,max_hold_time,breakout,True,432,1,7.0,0.011356913472933536,0.22981596242855118,1.5759716447681091,39.39929111920273,-150.98642674590218,BTC
BTC,conservative,long,2026-03-16 23:55:00,2026-03-18 11:30:00,74884.67,73347.6531479558,-1.0,stop,breakout,True,427,0,7.0,0.020525120188740833,0.09792878100185726,-1.0979287810018572,-27.44821952504643,-178.4346462709486,BTC
BTC,conservative,short,2026-03-19 14:25:00,2026-03-19 21:05:00,69165.75,70595.19611366231,-1.0,stop,breakout,True,80,0,7.0,0.020666964699469232,0.06367650107970609,-1.063676501079706,-26.59191252699265,-205.02655879794125,BTC
BTC,conservative,short,2026-03-22 20:55:00,2026-03-22 22:20:00,68176.46,68176.46,0.26664,stop,breakout,True,17,1,7.0,0.013901663597271909,0.1280422294457845,0.1385977705542155,3.4649442638553873,-201.56161453408586,BTC
BTC,conservative,long,2026-03-25 04:55:00,2026-03-26 09:30:00,70968.64,69667.49532035232,-1.0,stop,breakout,True,343,0,7.0,0.018334079385594556,0.10046863882608119,-1.1004686388260811,-27.511715970652027,-229.0733305047379,BTC
BTC,conservative,short,2026-03-26 10:40:00,2026-03-27 22:40:00,69548.18,66041.85,2.2631098154785523,max_hold_time,breakout,True,432,1,7.0,0.01683583747702468,0.1550264430600368,2.1080833724185153,52.70208431046288,-176.37124619427502,BTC
BTC,conservative,short,2026-03-29 00:10:00,2026-03-30 00:15:00,66412.28,66412.28,0.26664,stop,breakout,True,289,1,7.0,0.011795491338919693,0.19702443359284827,0.06961556640715172,1.7403891601787929,-174.63085703409624,BTC
BTC,conservative,long,2026-04-01 15:55:00,2026-04-02 01:20:00,68918.52,67568.93495383949,-1.0,stop,breakout,True,113,0,7.0,0.019582327742390798,0.07057383668481448,-1.0705738366848145,-26.764345917120362,-201.3952029512166,BTC
BTC,conservative,short,2026-04-02 10:10:00,2026-04-03 22:10:00,66262.53,66871.0,-0.4818916144048777,max_hold_time,breakout,True,432,0,7.0,0.019055563138150156,0.10600578872192251,-0.5878974031268003,-14.697435078170006,-216.0926380293866,BTC
BTC,conservative,long,2026-04-09 17:40:00,2026-04-11 05:40:00,72424.42,72802.0,0.2844534767725715,max_hold_time,breakout,True,432,0,7.0,0.018327900137362164,0.11021448092038369,0.1742389958521878,4.355974896304695,-211.7366631330819,BTC
BTC,conservative,short,2026-04-12 23:10:00,2026-04-13 13:45:00,70632.51,71511.69498575901,-1.0,stop,breakout,True,175,0,7.0,0.01244731336546037,0.12098996432265846,-1.1209899643226584,-28.02474910806646,-239.76141224114835,BTC
BTC,conservative,long,2026-04-15 18:55:00,2026-04-16 10:15:00,74390.29,74390.29,0.26664,stop,breakout,True,184,1,7.0,0.012767849137299898,0.16557213178719166,0.10106786821280833,2.5266967053202083,-237.23471553582814,BTC
BTC,conservative,long,2026-04-17 07:25:00,2026-04-18 19:25:00,74973.79,75693.97,0.6959369056731594,max_hold_time,breakout,True,432,1,7.0,0.014917783089419089,0.17495897241267877,0.5209779332604806,13.024448331512014,-224.21026720431612,BTC
BTC,conservative,short,2026-04-19 06:10:00,2026-04-20 12:15:00,75389.39,75389.39,0.26664,stop,breakout,True,361,1,7.0,0.010664482656237978,0.23142238395937492,0.035217616040625066,0.8804404010156266,-223.3298268033005,BTC
BTC,conservative,long,2026-04-21 06:40:00,2026-04-21 19:40:00,75992.06,74937.3217176413,-1.0,stop,breakout,True,156,0,7.0,0.013879585345609737,0.10576684846455764,-1.1057668484645578,-27.644171211613944,-250.97399801491446,BTC
BTC,conservative,long,2026-04-22 11:25:00,2026-04-22 23:20:00,78314.64,78314.64,0.26664,stop,breakout,True,143,1,7.0,0.01535111902361162,0.13236820044679298,0.134271799553207,3.356794988830175,-247.61720302608427,BTC
BTC,conservative,long,2026-04-24 00:40:00,2026-04-25 12:40:00,78383.67,77562.14,-0.6871058973614957,max_hold_time,breakout,True,432,0,7.0,0.015253663360068538,0.13242720468631894,-0.8195331020478147,-20.48832755119537,-268.10553057727964,BTC
BTC,conservative,short,2026-04-28 03:10:00,2026-04-29 03:15:00,76765.49,76765.49,0.26664,stop,breakout,True,289,1,7.0,0.012861965379526942,0.18068778226531626,0.08595221773468373,2.148805443367093,-265.9567251339125,BTC
BTC,conservative,long,2026-05-01 08:40:00,2026-05-02 20:40:00,77370.66,78433.16,1.077524024746637,max_hold_time,breakout,True,432,1,7.0,0.011290790465260209,0.23116184894498876,0.8463621758016484,21.15905439504121,-244.79767073887132,BTC
BTC,conservative,long,2026-05-05 05:25:00,2026-05-06 17:25:00,81061.53,81474.4,0.48574643249431765,max_hold_time,breakout,True,432,1,7.0,0.0154979358214067,0.16840952434419737,0.3173369081501203,7.933422703753007,-236.86424803511832,BTC
BTC,conservative,short,2026-05-07 14:55:00,2026-05-08 10:50:00,80171.38,80171.38,0.26664,stop,breakout,True,239,1,7.0,0.01355196036061716,0.16410909867055712,0.10253090132944287,2.5632725332360717,-234.30097550188225,BTC
BTC,conservative,long,2026-05-11 19:40:00,2026-05-12 01:35:00,82006.48,80898.23006369866,-1.0,stop,breakout,True,71,0,7.0,0.013514175176173078,0.09604729723265032,-1.0960472972326503,-27.401182430816256,-261.7021579326985,BTC
BTC,conservative,short,2026-05-12 13:55:00,2026-05-14 01:55:00,80466.91,79604.6,0.9171916822156166,max_hold_time,breakout,True,432,1,7.0,0.010982336567776654,0.23765434467361143,0.6795373375420052,16.98843343855013,-244.7137244941484,BTC
