symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,coin
ETH,swing-trend,long,2025-07-28 06:55:00,2025-07-28 13:20:00,3912.81,3848.538373363659,-1.0,stop,trend_following,False,77,0,5.5,0.016425951333272227,0.07939210841623262,-1.0793921084162326,ETH
ETH,swing-trend,long,2025-07-29 09:55:00,2025-07-29 14:35:00,3872.62,3802.47191063782,-1.0,stop,trend_following,False,56,0,5.5,0.01811385815344126,0.06978082688363474,-1.0697808268836346,ETH
ETH,swing-trend,short,2025-07-29 17:55:00,2025-07-30 20:00:00,3769.74,3769.74,0.26664,stop,trend_following,False,313,1,5.5,0.021473053727919224,0.10918970321337537,0.15745029678662462,ETH
ETH,swing-trend,short,2025-07-30 20:05:00,2025-07-31 00:40:00,3781.2,3837.86403,-1.0,stop,trend_following,False,55,0,5.5,0.014985726753411713,0.08421953301688063,-1.0842195330168807,ETH
ETH,swing-trend,long,2025-07-31 05:10:00,2025-07-31 14:20:00,3859.83,3787.271630083913,-1.0,stop,trend_following,False,110,0,5.5,0.018798333065468437,0.07272404975110183,-1.072724049751102,ETH
ETH,swing-trend,short,2025-07-31 21:10:00,2025-08-02 09:10:00,3738.62,3501.02,2.6177072647897583,max_hold_time,trend_following,False,432,1,5.5,0.018021897358715337,0.14270518417831618,2.4750020806114423,ETH
ETH,swing-trend,short,2025-08-02 09:15:00,2025-08-03 11:10:00,3499.19,3499.19,0.26664,stop,trend_following,False,311,1,5.5,0.012013548849876718,0.19484818441822901,0.07179181558177097,ETH
ETH,swing-trend,long,2025-08-04 07:35:00,2025-08-05 19:35:00,3550.31,3578.38,0.597288154186529,max_hold_time,trend_following,False,432,1,5.5,0.015941915007798273,0.16132429388565497,0.4359638603008741,ETH
ETH,swing-trend,short,2025-08-06 04:55:00,2025-08-06 05:15:00,3573.51,3628.18456,-1.0,stop,trend_following,False,4,0,5.5,0.015299959983321699,0.07712438472298645,-1.0771243847229865,ETH
ETH,swing-trend,long,2025-08-06 15:10:00,2025-08-08 03:10:00,3628.08,3903.11,2.876093089409305,max_hold_time,trend_following,False,432,1,5.5,0.01936797319114032,0.1327871613842709,2.743305928025034,ETH
ETH,swing-trend,long,2025-08-08 14:25:00,2025-08-10 02:25:00,3962.97,4262.68,2.8225344773076992,max_hold_time,trend_following,False,432,1,5.5,0.0197273152367149,0.13036838266931122,2.692166094638388,ETH
ETH,swing-trend,long,2025-08-10 17:25:00,2025-08-11 11:00:00,4228.32,4228.32,0.26664,stop,trend_following,False,211,1,5.5,0.018778869621977595,0.11448554328280623,0.15215445671719374,ETH
ETH,swing-trend,long,2025-08-12 06:40:00,2025-08-13 18:40:00,4302.56,4701.98,3.1774073883234077,max_hold_time,trend_following,False,432,1,5.5,0.021263063030529453,0.12095238480578137,3.0564550035176263,ETH
ETH,swing-trend,long,2025-08-13 18:45:00,2025-08-14 12:30:00,4702.69,4596.730818511045,-1.0,stop,trend_following,False,213,0,5.5,0.022531610947979674,0.06940148559894632,-1.0694014855989464,ETH
ETH,swing-trend,short,2025-08-15 17:55:00,2025-08-17 05:55:00,4438.98,4470.55,-0.24376439034646963,max_hold_time,trend_following,False,432,0,5.5,0.02917568963521167,0.06792703811279777,-0.3116914284592674,ETH
ETH,swing-trend,long,2025-08-17 14:30:00,2025-08-17 18:50:00,4543.46,4474.67268414388,-1.0,stop,trend_following,False,52,0,5.5,0.015139852855779444,0.08298387364339778,-1.0829838736433979,ETH
ETH,swing-trend,short,2025-08-19 01:10:00,2025-08-20 13:10:00,4331.26,4170.64,2.0000115450240683,max_hold_time,trend_following,False,432,1,5.5,0.01426343604401474,0.18030845960832662,1.8197030854157417,ETH
ETH,swing-trend,short,2025-08-20 14:25:00,2025-08-20 15:05:00,4159.69,4246.242,-1.0,stop,trend_following,False,8,0,5.5,0.020807319776233468,0.05671081199741158,-1.0567108119974116,ETH
ETH,swing-trend,long,2025-08-20 21:55:00,2025-08-21 16:45:00,4342.1,4224.0274210039715,-1.0,stop,trend_following,False,226,0,5.5,0.02719250569909233,0.05841850221984064,-1.0584185022198407,ETH
ETH,swing-trend,short,2025-08-21 19:35:00,2025-08-22 07:20:00,4228.76,4322.227954535882,-1.0,stop,trend_following,False,141,0,5.5,0.022102922496401355,0.06452869422606641,-1.0645286942260663,ETH
