symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin
ETH,conservative,long,2025-08-07 09:25:00,2025-08-09 09:25:00,3724.99,4189.87,4.753990358617941,max_hold_time,breakout,True,576,1,7.0,0.018541985073146434,0.1562939452581617,4.597696413359779,114.94241033399449,114.94241033399449,ETH
ETH,conservative,long,2025-08-10 19:25:00,2025-08-11 10:45:00,4242.77,4242.77,0.26664,stop,breakout,True,184,1,7.0,0.02212070651956175,0.09556656782777488,0.1710734321722251,4.276835804305628,119.21924613830012,ETH
ETH,conservative,long,2025-08-13 18:10:00,2025-08-14 12:30:00,4742.68,4610.231026868703,-1.0,stop,breakout,True,220,0,7.0,0.027927031368613724,0.057148931403919,-1.057148931403919,-26.428723285097977,92.79052285320215,ETH
ETH,conservative,long,2025-08-31 09:10:00,2025-08-31 23:30:00,4472.18,4393.890102289945,-1.0,stop,breakout,True,172,0,7.0,0.017505980910887956,0.08568500146524582,-1.085685001465246,-27.14212503663115,65.64839781657099,ETH
ETH,conservative,long,2025-09-03 17:25:00,2025-09-04 05:20:00,4480.0,4376.240895466702,-1.0,stop,breakout,True,143,0,7.0,0.023160514404754095,0.06226113871218701,-1.062261138712187,-26.556528467804675,39.091869348766316,ETH
ETH,conservative,short,2025-09-04 18:25:00,2025-09-05 07:25:00,4280.6,4373.4511003104,-1.0,stop,breakout,True,156,0,7.0,0.021691141501284743,0.06767739724131401,-1.067677397241314,-26.69193493103285,12.399934417733466,ETH
ETH,conservative,short,2025-09-06 04:40:00,2025-09-08 04:40:00,4305.81,4302.99,0.03361349729287387,max_hold_time,breakout,True,576,0,7.0,0.01948410878034454,0.11845550782021386,-0.08484201052733999,-2.1210502631834998,10.278884154549965,ETH
ETH,conservative,long,2025-09-10 08:55:00,2025-09-10 18:45:00,4332.41,4332.41,0.26664,stop,breakout,True,118,1,7.0,0.01314923368188206,0.1507312173431779,0.11590878265682208,2.897719566420552,13.176603720970517,ETH
ETH,conservative,long,2025-09-12 13:55:00,2025-09-14 13:55:00,4539.64,4612.8,1.1415671638027851,max_hold_time,breakout,True,576,1,7.0,0.01228035262708056,0.23598670885145004,0.9055804549513351,22.639511373783378,35.8161150947539,ETH
ETH,conservative,short,2025-09-16 11:05:00,2025-09-16 17:15:00,4496.01,4496.01,0.26664,stop,breakout,True,74,1,7.0,0.010404391894146006,0.18203851020506565,0.08460148979493434,2.1150372448733585,37.93115233962725,ETH
ETH,conservative,short,2025-09-17 14:25:00,2025-09-17 22:25:00,4474.32,4549.809745616787,-1.0,stop,breakout,True,96,0,7.0,0.016871780654219487,0.07989672386256852,-1.0798967238625685,-26.997418096564214,10.93373424306304,ETH
ETH,conservative,short,2025-09-19 11:55:00,2025-09-21 11:55:00,4513.8,4460.57,0.792193627453784,max_hold_time,breakout,True,576,1,7.0,0.014959861441119026,0.19371837175139128,0.5984752557023927,14.961881392559818,25.895615635622857,ETH
ETH,conservative,short,2025-09-23 02:25:00,2025-09-24 05:35:00,4159.01,4159.01,0.26664,stop,breakout,True,326,1,7.0,0.015520361816874585,0.15450670727229848,0.1121332927277015,2.803332318192538,28.698947953815395,ETH
ETH,conservative,short,2025-09-26 07:40:00,2025-09-26 17:35:00,3908.91,4026.8928699999997,-1.0,stop,breakout,True,119,0,7.0,0.030183061262602572,0.04618484479992738,-1.0461848447999273,-26.154621119998183,2.5443268338172125,ETH
ETH,conservative,long,2025-09-28 00:25:00,2025-09-28 12:40:00,4029.45,3975.069095068997,-1.0,stop,breakout,True,147,0,7.0,0.01349586294184144,0.1074403323632268,-1.1074403323632267,-27.686008309080666,-25.141681475263454,ETH
ETH,conservative,long,2025-10-02 15:55:00,2025-10-03 08:15:00,4437.09,4437.09,0.26664,stop,breakout,True,196,1,7.0,0.018748382385752802,0.11403650491066902,0.15260349508933096,3.815087377233274,-21.326594098030178,ETH
ETH,conservative,long,2025-10-03 10:55:00,2025-10-03 17:00:00,4489.56,4489.56,0.26664,stop,breakout,True,73,1,7.0,0.0146980995910513,0.1287241243862515,0.1379158756137485,3.447896890343712,-17.878697207686464,ETH
ETH,conservative,long,2025-10-06 06:10:00,2025-10-07 15:05:00,4548.07,4548.07,0.26664,stop,breakout,True,395,1,7.0,0.016369004946353263,0.15492694933573087,0.11171305066426912,2.792826266606728,-15.085870941079737,ETH
ETH,conservative,short,2025-10-10 05:10:00,2025-10-12 05:10:00,4334.38,3807.79,4.456421589941758,max_hold_time,breakout,True,576,1,7.0,0.019332352031893943,0.14990416040526083,4.306517429536497,107.66293573841243,92.5770647973327,ETH
ETH,conservative,long,2025-10-25 06:10:00,2025-10-27 06:10:00,3934.38,4231.37,3.2183880237864297,max_hold_time,breakout,True,576,1,7.0,0.017049698229874385,0.16997368287270564,3.048414340913724,76.21035852284311,168.7874233201758,ETH
ETH,conservative,short,2025-10-29 10:55:00,2025-10-31 10:55:00,3989.07,3835.83,1.5515048416557482,max_hold_time,breakout,True,576,1,7.0,0.01993303804181468,0.14538676913778514,1.406118072517963,35.15295181294908,203.9403751331249,ETH
ETH,conservative,long,2025-11-09 11:55:00,2025-11-11 11:55:00,3428.37,3574.14,1.665373016895526,max_hold_time,breakout,True,576,1,7.0,0.020266376022789107,0.1429954717479465,1.5223775451475796,38.05943862868949,241.99981376181438,ETH
ETH,conservative,short,2025-11-20 15:55:00,2025-11-22 15:55:00,2955.68,2738.92,1.699904198558293,max_hold_time,breakout,True,576,1,7.0,0.0341134726694806,0.08495177339692764,1.6149524251613654,40.37381062903413,282.37362439084853,ETH
ETH,conservative,long,2025-11-27 19:40:00,2025-11-28 16:25:00,3035.88,3035.88,0.26664,stop,breakout,True,249,1,7.0,0.017486125933831337,0.1283303121852974,0.1383096878147026,3.457742195367565,285.8313665862161,ETH
ETH,conservative,short,2025-12-07 14:10:00,2025-12-07 15:55:00,3025.58,3025.58,0.26664,stop,breakout,True,21,1,7.0,0.011729324625361248,0.1524384444210855,0.11420155557891448,2.855038889472862,288.68640547568896,ETH
ETH,conservative,short,2025-12-11 14:25:00,2025-12-11 21:30:00,3186.01,3262.2119883071787,-1.0,stop,breakout,True,85,0,7.0,0.023917686481579922,0.05544014472391433,-1.0554401447239143,-26.38600361809786,262.3004018575911,ETH
ETH,conservative,long,2025-12-20 03:25:00,2025-12-22 03:25:00,2990.23,3027.02,0.6979656357456017,max_hold_time,breakout,True,576,1,7.0,0.019017366557087474,0.1523870295763932,0.5455786061692085,13.639465154230212,275.9398670118213,ETH
ETH,conservative,short,2026-01-09 14:40:00,2026-01-09 15:25:00,3072.73,3129.0607942016168,-1.0,stop,breakout,True,9,0,7.0,0.018332490717250377,0.06436659470879491,-1.0643665947087948,-26.60916486771987,249.33070214410145,ETH
ETH,conservative,long,2026-01-27 02:55:00,2026-01-29 02:55:00,2945.25,2959.23,0.4058065748588341,max_hold_time,breakout,True,576,1,7.0,0.02273947969286797,0.12744354924307838,0.2783630256157557,6.959075640393893,256.28977778449536,ETH
ETH,conservative,short,2026-01-29 11:55:00,2026-01-31 11:55:00,2929.29,2640.72,3.832630100111123,max_hold_time,breakout,True,576,1,7.0,0.01841785851496858,0.15734728321670702,3.675282816894416,91.8820704223604,348.17184820685577,ETH
ETH,conservative,short,2026-02-24 01:10:00,2026-02-24 15:20:00,1845.7,1845.7,0.26664,stop,breakout,True,170,1,7.0,0.02450391690083194,0.08512924723186512,0.1815107527681349,4.5377688192033725,352.70961702605916,ETH
ETH,conservative,long,2026-03-12 14:10:00,2026-03-14 06:30:00,2080.21,2080.21,0.26664,stop,breakout,True,484,1,7.0,0.022759721491209067,0.11924574740724667,0.14739425259275332,3.684856314818833,356.394473340878,ETH
ETH,conservative,long,2026-03-15 08:55:00,2026-03-17 08:55:00,2112.93,2320.66,5.172200489675097,max_hold_time,breakout,True,576,1,7.0,0.013361522013968034,0.21689145869538312,4.955309030979714,123.88272577449284,480.2771991153708,ETH
ETH,conservative,long,2026-03-18 03:25:00,2026-03-18 11:25:00,2339.8,2301.696,-1.0,stop,breakout,True,96,0,7.0,0.01628515257714346,0.08277478479949554,-1.0827747847994955,-27.069369619987388,453.2078294953834,ETH
ETH,conservative,short,2026-03-20 13:55:00,2026-03-22 13:55:00,2127.39,2078.71,0.8952850226277586,max_hold_time,breakout,True,576,1,7.0,0.02426768951626188,0.11941804340532865,0.7758669792224299,19.396674480560748,472.60450397594417,ETH
ETH,conservative,long,2026-03-25 00:40:00,2026-03-26 06:55:00,2165.13,2121.86,-0.8076711712428533,reversal,breakout,True,363,0,7.0,0.024743910490988317,0.07605911768414376,-0.883730288926997,-22.093257223174927,450.51124675276924,ETH
ETH,conservative,short,2026-04-02 13:40:00,2026-04-02 14:40:00,2020.33,2066.8695691458206,-1.0,stop,breakout,True,12,0,7.0,0.023035627420184168,0.05122499936624544,-1.0512249993662455,-26.280624984156137,424.2306217686131,ETH
ETH,conservative,short,2026-04-03 00:40:00,2026-04-05 00:40:00,2053.41,2065.25,-0.45005937438706584,max_hold_time,breakout,True,576,0,7.0,0.012811683979331938,0.18014805889087737,-0.6302074332779433,-15.755185831948582,408.4754359366645,ETH
ETH,conservative,short,2026-04-13 07:25:00,2026-04-13 14:40:00,2184.44,2219.3095504945863,-1.0,stop,breakout,True,87,0,7.0,0.015962695470961113,0.08331926161339723,-1.0833192616133973,-27.082981540334934,381.3924543963296,ETH
ETH,conservative,long,2026-04-14 13:55:00,2026-04-14 15:00:00,2391.5,2352.40524,-1.0,stop,breakout,True,13,0,7.0,0.01634738030524773,0.07230516314718402,-1.072305163147184,-26.8076290786796,354.58482531765,ETH
