symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,coin
SOL,balanced,short,2025-07-28 21:55:00,2025-07-29 16:15:00,184.28,179.12,0.9067722971440522,target_1r_full_close,trend_following,False,220,0,11.0,0.030879712946863713,0.05250088056199949,0.8542714165820526,SOL
SOL,balanced,short,2025-07-29 16:55:00,2025-07-30 19:00:00,180.08,173.67,1.1786745987534064,target_1r_full_close,trend_following,False,313,0,11.0,0.03019942146834454,0.060215883618532556,1.118458715134874,SOL
SOL,balanced,short,2025-07-30 19:55:00,2025-07-31 08:40:00,176.12,182.0747403069691,-1.0,stop,trend_following,False,153,0,11.0,0.03381069899482788,0.04374623870737396,-1.043746238707374,SOL
SOL,balanced,short,2025-07-31 20:55:00,2025-08-01 00:10:00,175.46,170.95,0.8981158613034254,target_1r_full_close,trend_following,False,39,0,11.0,0.028619764148550608,0.0432314089260371,0.8548844523773883,SOL
SOL,balanced,short,2025-08-01 17:55:00,2025-08-01 22:05:00,166.57,161.93,0.8010786938964334,target_1r_full_close,trend_following,False,50,0,11.0,0.03477330851894102,0.036252117336474,0.7648265765599593,SOL
SOL,balanced,short,2025-08-01 23:10:00,2025-08-02 18:45:00,162.05,156.33,0.8362919817840121,target_1r_full_close,trend_following,False,235,0,11.0,0.042207444741326025,0.03916442497671016,0.797127556807302,SOL
SOL,balanced,short,2025-08-02 20:10:00,2025-08-04 00:45:00,158.38,164.17685788193646,-1.0,stop,trend_following,False,343,0,11.0,0.036600946343834206,0.05142274722736163,-1.0514227472273616,SOL
SOL,balanced,long,2025-08-05 06:40:00,2025-08-05 10:30:00,168.55,171.54,0.8048452220726724,target_1r_full_close,trend_following,False,46,0,11.0,0.022040937407297557,0.05680889106407271,0.7480363310085997,SOL
SOL,balanced,short,2025-08-06 02:55:00,2025-08-06 14:55:00,162.68,167.37158592301856,-1.0,stop,trend_following,False,144,0,11.0,0.028839352858486295,0.05062526913014205,-1.050625269130142,SOL
SOL,balanced,long,2025-08-06 16:55:00,2025-08-07 10:25:00,167.74,172.11,0.9100172682044383,target_1r_full_close,trend_following,False,210,0,11.0,0.028628273978699166,0.05588880423564753,0.8541284639687907,SOL
SOL,balanced,long,2025-08-08 06:55:00,2025-08-08 13:55:00,175.07,178.63,0.9517819326380422,target_1r_full_close,trend_following,False,84,0,11.0,0.02136489731129297,0.062379296905060486,0.8894026357329817,SOL
SOL,balanced,long,2025-08-08 14:10:00,2025-08-09 05:15:00,177.47,181.06,0.8520374136985813,target_1r_full_close,trend_following,False,181,0,11.0,0.023741646475460575,0.06480110172961384,0.7872363119689675,SOL
SOL,balanced,long,2025-08-09 06:10:00,2025-08-10 01:35:00,180.08,184.3,0.9277853416152888,target_1r_full_close,trend_following,False,233,0,11.0,0.02525802927593474,0.06527777210072384,0.862507569514565,SOL
SOL,balanced,long,2025-08-10 02:40:00,2025-08-10 07:40:00,183.07,178.74107999999998,-1.0,stop,trend_following,False,60,0,11.0,0.023646255530671387,0.05420808297345619,-1.0542080829734561,SOL
SOL,balanced,long,2025-08-10 17:55:00,2025-08-11 02:15:00,181.68,185.22,0.8142591966435889,target_1r_full_close,trend_following,False,100,0,11.0,0.023929491413474394,0.057112232059270344,0.7571469645843186,SOL
SOL,balanced,long,2025-08-11 03:25:00,2025-08-11 11:20:00,184.88,180.1138845194676,-1.0,stop,trend_following,False,95,0,11.0,0.025779508224428774,0.05260226821455023,-1.0526022682145502,SOL
SOL,balanced,short,2025-08-12 04:15:00,2025-08-12 15:20:00,175.73,180.16775897043468,-1.0,stop,trend_following,False,133,0,11.0,0.02525328043267903,0.05689029868798934,-1.0568902986879893,SOL
SOL,balanced,long,2025-08-13 12:55:00,2025-08-14 02:45:00,201.14,206.27,0.8370266327566509,target_1r_full_close,trend_following,False,166,0,11.0,0.03047050433894297,0.049446725590986174,0.7875799071656647,SOL
