symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,dollar_pnl,dollar_running_total,coin
SOL,conservative,long,2025-08-04 08:39:00,2025-08-05 14:48:00,163.94,163.94,0.26664,stop,breakout,True,603,1,7.0,0.01514460280091787,0.1630679940876577,0.10357200591234228,2.589300147808557,2.589300147808557,SOL
SOL,conservative,long,2025-08-08 07:18:00,2025-08-08 08:30:00,175.6,175.6,0.26664,stop,breakout,True,24,1,7.0,0.01334527334851927,0.13299090649176726,0.13364909350823273,3.3412273377058184,5.930527485514375,SOL
SOL,conservative,long,2025-08-09 20:27:00,2025-08-09 23:12:00,182.73,179.82377922065874,-1.0,stop,breakout,True,55,0,7.0,0.015904453452313547,0.07683382542279323,-1.0768338254227932,-26.92084563556983,-20.990318150055455,SOL
SOL,conservative,long,2025-08-17 14:39:00,2025-08-17 18:54:00,194.1,191.41367510339913,-1.0,stop,breakout,True,85,0,7.0,0.013839901579602605,0.09089660015025351,-1.0908966001502536,-27.27241500375634,-48.262733153811794,SOL
SOL,conservative,long,2025-08-20 08:39:00,2025-08-20 14:03:00,181.81,178.58952637768098,-1.0,stop,breakout,True,108,0,7.0,0.01771340202584577,0.07257781413893111,-1.072577814138931,-26.814445353473275,-75.07717850728507,SOL
SOL,conservative,short,2025-08-22 01:09:00,2025-08-22 02:21:00,180.15,183.11293,-1.0,stop,breakout,True,24,0,7.0,0.016447016375242852,0.07203738191587382,-1.0720373819158737,-26.800934547896844,-101.87811305518191,SOL
SOL,conservative,long,2025-08-27 13:48:00,2025-08-27 20:03:00,205.59,205.59,0.26664,stop,breakout,True,125,1,7.0,0.020977368052928116,0.09038312123886044,0.17625687876113955,4.4064219690284885,-97.47169108615343,SOL
SOL,conservative,long,2025-08-28 13:18:00,2025-08-28 15:48:00,215.38,210.36569489047324,-1.0,stop,breakout,True,50,0,7.0,0.023281201177113752,0.05223098201631328,-1.0522309820163134,-26.305774550407833,-123.77746563656126,SOL
SOL,conservative,long,2025-08-29 00:09:00,2025-08-29 07:09:00,215.61,210.04220134862976,-1.0,stop,breakout,True,140,0,7.0,0.025823471320301716,0.05127118595241326,-1.0512711859524133,-26.281779648810332,-150.0592452853716,SOL
SOL,conservative,long,2025-09-03 13:39:00,2025-09-04 03:03:00,211.6,207.9171723662512,-1.0,stop,breakout,True,268,0,7.0,0.01740466745627971,0.08489676712937558,-1.0848967671293757,-27.12241917823439,-177.18166446360598,SOL
SOL,conservative,long,2025-09-08 08:27:00,2025-09-09 20:27:00,208.79,215.28,1.7799862021660402,max_hold_time,breakout,True,720,1,7.0,0.013693900452060542,0.19059580644222293,1.5893903957238174,39.734759893095436,-137.44690457051055,SOL
SOL,conservative,long,2025-09-10 06:39:00,2025-09-10 10:18:00,219.52,219.52,0.26664,stop,breakout,True,73,1,7.0,0.015329307043246105,0.1196140174390897,0.1470259825609103,3.6756495640227573,-133.7712550064878,SOL
SOL,conservative,long,2025-09-11 22:12:00,2025-09-13 10:12:00,227.49,242.96,4.536854466111866,max_hold_time,breakout,True,720,1,7.0,0.010617169985493877,0.24582822009688216,4.291026246014984,107.2756561503746,-26.49559885611319,SOL
SOL,conservative,long,2025-09-14 00:27:00,2025-09-14 14:27:00,243.21,243.21,0.26664,stop,breakout,True,280,1,7.0,0.013203366202630554,0.15768706010632316,0.10895293989367683,2.723823497341921,-23.77177535877127,SOL
SOL,conservative,short,2025-09-17 16:09:00,2025-09-17 17:54:00,233.33,236.5033096668506,-1.0,stop,breakout,True,35,0,7.0,0.0136000928592577,0.0880876338417433,-1.0880876338417433,-27.202190846043585,-50.97396620481486,SOL
SOL,conservative,short,2025-09-19 09:27:00,2025-09-20 21:27:00,242.94,240.07,0.8383569877690761,max_hold_time,breakout,True,720,1,7.0,0.013776288460202422,0.18945596323275957,0.6489010245363165,16.22252561340791,-34.75144059140695,SOL
SOL,conservative,short,2025-09-22 15:39:00,2025-09-22 21:21:00,220.41,220.41,0.26664,stop,breakout,True,114,1,7.0,0.01744036114513862,0.10795648004828257,0.15868351995171742,3.9670879987929357,-30.784352592614013,SOL
SOL,conservative,short,2025-09-25 00:27:00,2025-09-25 02:30:00,210.55,210.55,0.26664,stop,breakout,True,41,1,7.0,0.016016107865425292,0.1120871571972477,0.15455284280275228,3.863821070068807,-26.920531522545208,SOL
SOL,conservative,long,2025-09-27 14:18:00,2025-09-28 10:03:00,203.17,200.38618156948237,-1.0,stop,breakout,True,395,0,7.0,0.013701916771755737,0.11896145825086157,-1.1189614582508616,-27.974036456271538,-54.894567978816745,SOL
SOL,conservative,short,2025-09-28 10:09:00,2025-09-28 13:54:00,200.46,200.46,0.26664,stop,breakout,True,75,1,7.0,0.012185473411154214,0.1506712080894109,0.11596879191058909,2.899219797764727,-51.995348181052016,SOL
SOL,conservative,long,2025-10-01 07:39:00,2025-10-02 19:39:00,209.87,231.84,4.155698255958746,max_hold_time,breakout,True,720,1,7.0,0.01794591890217756,0.14543696615520213,4.010261289803544,100.2565322450886,48.26118406403658,SOL
SOL,conservative,long,2025-10-06 13:27:00,2025-10-07 06:36:00,234.42,230.86600744021982,-1.0,stop,breakout,True,343,0,7.0,0.01516079071657781,0.10339830087396976,-1.1033983008739698,-27.584957521849248,20.67622654218733,SOL
SOL,conservative,short,2025-10-07 13:42:00,2025-10-08 17:54:00,227.53,227.53,0.26664,stop,breakout,True,564,1,7.0,0.015450856674922875,0.15680683932123096,0.10983316067876903,2.7458290169692257,23.422055559156554,SOL
