symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,coin
XRP,ultra-short,long,2025-07-28 06:55:00,2025-07-28 10:30:00,3.2898,3.235527381952252,-1.0,stop,trend_following,False,43,0,10.0,0.0164972393603709,0.07547323359997651,-1.0754732335999766,XRP
XRP,ultra-short,long,2025-07-28 13:10:00,2025-07-28 13:20:00,3.2046,3.1861107,-1.0,stop,mean_reversion,False,2,0,10.0,0.0057696124321288626,0.2045198033457172,-1.2045198033457172,XRP
XRP,ultra-short,long,2025-07-28 13:30:00,2025-07-28 18:05:00,3.1812,3.1354,-0.929770890168844,reversal,mean_reversion,False,55,0,10.0,0.015484548950762084,0.08203661624496213,-1.0118075064138061,XRP
XRP,ultra-short,short,2025-07-28 20:25:00,2025-07-29 07:40:00,3.1151,3.1695987272399724,-1.0,stop,breakout,True,135,0,10.0,0.01749501693042676,0.08221198102978432,-1.0822119810297843,XRP
XRP,ultra-short,short,2025-07-29 07:45:00,2025-07-30 19:45:00,3.1792,3.108,1.137445909631989,max_hold_time,mean_reversion,False,432,1,10.0,0.01714633210739184,0.15466864769618655,0.9827772619358026,XRP
XRP,ultra-short,short,2025-07-30 19:50:00,2025-07-31 08:40:00,3.1067,3.1652621,-1.0,stop,trend_following,False,154,0,10.0,0.018850259117391462,0.07841802018711753,-1.0784180201871176,XRP
XRP,ultra-short,short,2025-07-31 08:45:00,2025-08-01 20:45:00,3.1686,2.9908,2.8545746498787814,max_hold_time,mean_reversion,False,432,1,10.0,0.014455778613247056,0.1834560469520298,2.6711186029267515,XRP
XRP,ultra-short,short,2025-08-02 04:40:00,2025-08-03 16:40:00,3.0122,2.9082,1.657297654585931,max_hold_time,mean_reversion,False,432,1,10.0,0.01655235376137046,0.1602189053129823,1.4970787492729487,XRP
XRP,ultra-short,long,2025-08-04 07:30:00,2025-08-05 14:15:00,2.9979,2.9979,0.26664,stop,trend_following,False,369,1,10.0,0.015402156276783617,0.163593977019832,0.10304602298016799,XRP
XRP,ultra-short,long,2025-08-05 14:20:00,2025-08-05 19:55:00,2.9739,2.9464,-0.5994658607783381,reversal,mean_reversion,False,67,0,10.0,0.015425593325555357,0.08398380358269682,-0.6834496643610349,XRP
XRP,ultra-short,short,2025-08-05 20:55:00,2025-08-06 15:50:00,2.9385,2.989509286182147,-1.0,stop,breakout,True,227,0,10.0,0.017358953950024486,0.09398607800314482,-1.0939860780031447,XRP
XRP,ultra-short,short,2025-08-06 18:10:00,2025-08-07 10:00:00,3.016,3.016,0.26664,stop,mean_reversion,False,190,1,10.0,0.01626396922668742,0.13181284163291795,0.13482715836708203,XRP
XRP,ultra-short,long,2025-08-07 19:15:00,2025-08-09 07:15:00,3.0574,3.3129,4.508103887683937,max_hold_time,trend_following,False,432,1,10.0,0.01313570312719307,0.20189250429312178,4.306211383390815,XRP
XRP,ultra-short,long,2025-08-09 09:10:00,2025-08-09 13:30:00,3.329,3.2816962782820434,-1.0,stop,breakout,True,52,0,10.0,0.014209588981062428,0.0889540156076698,-1.0889540156076698,XRP
XRP,ultra-short,long,2025-08-10 03:25:00,2025-08-10 07:35:00,3.2589,3.2149814819897156,-1.0,stop,breakout,True,50,0,10.0,0.013476485320287387,0.09348134695798672,-1.0934813469579867,XRP
XRP,ultra-short,long,2025-08-10 07:40:00,2025-08-10 07:55:00,3.1677,3.1875,0.4541344075446315,reversal,mean_reversion,False,3,0,10.0,0.01376374881152031,0.08573245677168531,0.36840195077294624,XRP
XRP,ultra-short,short,2025-08-10 10:10:00,2025-08-10 18:35:00,3.2022,3.2022,0.26664,stop,trend_following,False,101,1,10.0,0.015903204551380896,0.12305067155978194,0.14358932844021804,XRP
XRP,ultra-short,short,2025-08-10 20:40:00,2025-08-11 00:25:00,3.1982,3.1982,0.26664,stop,trend_following,False,45,1,10.0,0.013372010708186988,0.13754849888610185,0.12909150111389814,XRP
XRP,ultra-short,short,2025-08-11 01:55:00,2025-08-11 03:10:00,3.2251,3.2695021866202514,-1.0,stop,mean_reversion,False,15,0,10.0,0.013767692977039945,0.08616548916208143,-1.0861654891620813,XRP
XRP,ultra-short,short,2025-08-11 03:15:00,2025-08-11 08:25:00,3.2655,3.312162742299883,-1.0,stop,mean_reversion,False,62,0,10.0,0.014289616383366505,0.08992543715139717,-1.0899254371513971,XRP
XRP,ultra-short,long,2025-08-11 08:55:00,2025-08-11 11:15:00,3.2993,3.245069087814638,-1.0,stop,trend_following,False,28,0,10.0,0.016437096409954204,0.07383299152915179,-1.0738329915291518,XRP
XRP,ultra-short,long,2025-08-11 11:25:00,2025-08-11 19:50:00,3.2162,3.16086977509948,-1.0,stop,mean_reversion,False,101,0,10.0,0.017203602046054377,0.0794542908130973,-1.0794542908130973,XRP
XRP,ultra-short,short,2025-08-11 20:40:00,2025-08-12 12:30:00,3.1629,3.1629,0.26664,stop,trend_following,False,190,1,10.0,0.019834047446711144,0.10808686455751532,0.15855313544248467,XRP
XRP,ultra-short,long,2025-08-12 21:10:00,2025-08-13 01:10:00,3.2732,3.222796691211255,-1.0,stop,trend_following,False,48,0,10.0,0.01539878674958603,0.08153889136972137,-1.0815388913697213,XRP
XRP,ultra-short,long,2025-08-13 01:15:00,2025-08-14 08:35:00,3.2292,3.2292,0.26664,stop,mean_reversion,False,376,1,10.0,0.014239819281598003,0.1779797868133891,0.08866021318661088,XRP
XRP,ultra-short,short,2025-08-14 10:25:00,2025-08-15 22:25:00,3.2279,3.0796,2.2386988808964556,max_hold_time,breakout,True,432,1,10.0,0.015532152877900692,0.1707425893144081,2.0679562915820475,XRP
XRP,ultra-short,long,2025-08-16 01:10:00,2025-08-16 18:00:00,3.0935,3.0935,0.26664,stop,breakout,True,202,1,10.0,0.01623794849312369,0.1335759871955814,0.1330640128044186,XRP
XRP,ultra-short,short,2025-08-17 00:55:00,2025-08-17 03:40:00,3.0928,3.122580582214043,-1.0,stop,breakout,True,33,0,10.0,0.00962900356118821,0.12712634201673795,-1.127126342016738,XRP
XRP,ultra-short,long,2025-08-17 18:55:00,2025-08-17 23:25:00,3.0979,3.0979,0.26664,stop,mean_reversion,False,54,1,10.0,0.005837147745246784,0.3183404088945908,-0.05170040889459082,XRP
XRP,ultra-short,short,2025-08-17 23:40:00,2025-08-19 11:40:00,3.0961,3.008,2.296261355855358,max_hold_time,trend_following,False,432,1,10.0,0.00934708861922799,0.28372470916179654,2.0125366466935612,XRP
XRP,ultra-short,short,2025-08-19 12:45:00,2025-08-21 00:45:00,3.0053,2.9407,1.318433771864692,max_hold_time,trend_following,False,432,1,10.0,0.013625252112754708,0.1946386003028481,1.1237951715618437,XRP
XRP,ultra-short,short,2025-08-21 05:25:00,2025-08-22 14:00:00,2.9235,2.9235,0.26664,stop,trend_following,False,391,1,10.0,0.0165617831953932,0.154928969285972,0.11171103071402799,XRP
XRP,ultra-short,short,2025-08-22 14:10:00,2025-08-22 15:55:00,3.0011,3.0169,-0.3415938111043731,reversal,mean_reversion,False,21,0,10.0,0.015412270633209695,0.07778866777855964,-0.41938247888293273,XRP
XRP,ultra-short,long,2025-08-22 20:55:00,2025-08-23 01:15:00,3.0907,3.029734927502532,-1.0,stop,trend_following,False,52,0,10.0,0.0197253284037493,0.06408004845991536,-1.0640800484599153,XRP
XRP,ultra-short,long,2025-08-23 01:20:00,2025-08-23 13:30:00,3.0214,3.0214,0.26664,stop,mean_reversion,False,146,1,10.0,0.018544911942362307,0.11061794234320244,0.15602205765679755,XRP
XRP,ultra-short,long,2025-08-23 22:40:00,2025-08-24 06:15:00,3.041,3.041,0.26664,stop,breakout,True,91,1,10.0,0.010790334934929776,0.1794105569173047,0.08722944308269528,XRP
XRP,ultra-short,long,2025-08-24 17:10:00,2025-08-24 19:45:00,3.0404,3.0404,0.26664,stop,breakout,True,31,1,10.0,0.009826156718148772,0.18419205513556897,0.08244794486443102,XRP
XRP,ultra-short,short,2025-08-25 10:10:00,2025-08-26 16:35:00,2.9484,2.9484,0.26664,stop,trend_following,False,365,1,10.0,0.016842377601922934,0.14910602643852844,0.11753397356147155,XRP
XRP,ultra-short,short,2025-08-26 19:55:00,2025-08-26 20:00:00,3.0607,3.0404,0.38104291693680514,reversal,mean_reversion,False,1,0,10.0,0.017406096273335808,0.0677923401933395,0.3132505767434656,XRP
XRP,ultra-short,short,2025-08-26 20:05:00,2025-08-26 20:10:00,3.0416,3.0391,0.046926467520763224,reversal,mean_reversion,False,1,0,10.0,0.017515399446745634,0.06736928858446585,-0.020442821063702626,XRP
XRP,ultra-short,long,2025-08-26 21:55:00,2025-08-27 22:00:00,3.0305,2.9775140414713306,-1.0,stop,trend_following,False,289,0,10.0,0.017484229839521328,0.10075937093996877,-1.1007593709399688,XRP
XRP,ultra-short,long,2025-08-28 06:40:00,2025-08-28 16:55:00,3.0005,2.960441810672038,-1.0,stop,trend_following,False,123,0,10.0,0.013350504691872135,0.10584618578953825,-1.1058461857895383,XRP
XRP,ultra-short,long,2025-08-28 20:00:00,2025-08-29 00:40:00,2.9598,2.9598,0.26664,stop,mean_reversion,False,56,1,10.0,0.0066028785728764645,0.2820587989684426,-0.015418798968442615,XRP
XRP,ultra-short,short,2025-08-29 00:45:00,2025-08-30 12:45:00,2.9595,2.7919,3.381800145389498,max_hold_time,trend_following,False,432,1,10.0,0.012120087275733287,0.2188103055420902,3.1629898398474077,XRP
XRP,ultra-short,short,2025-08-31 11:55:00,2025-09-01 08:55:00,2.8238,2.8238,0.26664,stop,trend_following,False,252,1,10.0,0.009276634756827261,0.2451319966355709,0.021508003364429096,XRP
XRP,ultra-short,short,2025-09-01 21:15:00,2025-09-02 02:50:00,2.7381,2.7796728850732135,-1.0,stop,trend_following,False,67,0,10.0,0.01518311423001838,0.08532505126245314,-1.085325051262453,XRP
XRP,ultra-short,short,2025-09-02 02:55:00,2025-09-02 14:25:00,2.7885,2.8321499754480066,-1.0,stop,mean_reversion,False,138,0,10.0,0.015653568387307384,0.09228566702857008,-1.09228566702857,XRP
XRP,ultra-short,long,2025-09-02 15:10:00,2025-09-02 16:20:00,2.8317,2.7887523733450013,-1.0,stop,trend_following,False,14,0,10.0,0.015166729051452783,0.07807879971895249,-1.0780787997189525,XRP
XRP,ultra-short,long,2025-09-02 19:10:00,2025-09-04 07:10:00,2.8092,2.8224,0.4684051262212919,max_hold_time,trend_following,False,432,1,10.0,0.01552657348693848,0.17080394474872124,0.29760118147257064,XRP
XRP,ultra-short,short,2025-09-04 07:25:00,2025-09-04 08:25:00,2.8172,2.8458417640743434,-1.0,stop,breakout,True,12,0,10.0,0.010166748571043329,0.11606463873424053,-1.1160646387342406,XRP
XRP,ultra-short,long,2025-09-04 12:10:00,2025-09-04 14:05:00,2.8442,2.8170989766361263,-1.0,stop,trend_following,False,23,0,10.0,0.009528522383754148,0.12626301870804757,-1.1262630187080476,XRP
XRP,ultra-short,long,2025-09-04 14:20:00,2025-09-04 15:00:00,2.8279,2.8279,0.26664,stop,mean_reversion,False,8,1,10.0,0.005910392871035007,0.29947247816202177,-0.03283247816202178,XRP
