symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,r_achieved,exit_reason,setup_type,is_breakout_extension,bars_held,stages_done,leverage,stop_distance_pct,fee_interest_r_cost,net_r,coin
XRP,conservative,long,2025-08-05 00:55:00,2025-08-05 04:30:00,3.0903,3.031315281049174,-1.0,stop,breakout,True,43,0,7.0,0.019087052697416475,0.0650702871569119,-1.065070287156912,XRP
XRP,conservative,long,2025-08-07 01:35:00,2025-08-07 10:10:00,3.0039,3.0527,0.9186487220782914,target_1r_full_close,breakout,True,103,0,7.0,0.01768417792844958,0.07701799911257794,0.8416307229657135,XRP
XRP,conservative,short,2025-08-10 21:10:00,2025-08-11 02:00:00,3.1739,3.231263114852881,-1.0,stop,breakout,True,58,0,7.0,0.018073384433309504,0.07037973461438059,-1.0703797346143806,XRP
XRP,conservative,short,2025-08-17 00:55:00,2025-08-17 04:50:00,3.0928,3.132507442952057,-1.0,stop,breakout,True,47,0,7.0,0.012838671414917614,0.09736209920814626,-1.0973620992081463,XRP
XRP,conservative,short,2025-08-19 13:40:00,2025-08-19 14:40:00,2.9908,2.9457,0.8565247960910123,target_1r_full_close,breakout,True,12,0,7.0,0.017605535110510575,0.06702437572008449,0.7895004203709278,XRP
XRP,conservative,short,2025-08-22 01:10:00,2025-08-22 12:05:00,2.8439,2.7935,0.864299834532159,target_1r_full_close,breakout,True,131,0,7.0,0.020504622841169252,0.06915513691639012,0.7951446976157689,XRP
XRP,conservative,short,2025-08-30 12:25:00,2025-08-31 00:50:00,2.7973,2.8377349,-1.0,stop,breakout,True,149,0,7.0,0.014454974439638281,0.10058820969014351,-1.1005882096901436,XRP
XRP,conservative,short,2025-08-31 19:55:00,2025-09-01 00:00:00,2.8002,2.7629,1.1245488810173285,target_1r_full_close,breakout,True,49,0,7.0,0.01184517394808787,0.10586589994336297,1.0186829810739655,XRP
XRP,conservative,long,2025-09-11 12:25:00,2025-09-11 12:30:00,3.0296,2.9953675525933856,-1.0,stop,breakout,True,1,0,7.0,0.01129932908853124,0.10443097910987423,-1.1044309791098743,XRP
XRP,conservative,short,2025-09-17 18:45:00,2025-09-17 19:40:00,2.998,3.035988854810162,-1.0,stop,breakout,True,11,0,7.0,0.012671399202855795,0.09312310196446653,-1.0931231019644665,XRP
XRP,conservative,short,2025-09-19 14:25:00,2025-09-19 19:45:00,3.0228,2.9901,0.8741873429414738,target_1r_full_close,breakout,True,64,0,7.0,0.012374675660313677,0.10376029523891803,0.7704270477025558,XRP
XRP,conservative,short,2025-09-23 02:25:00,2025-09-23 05:25:00,2.8187,2.8702823449459007,-1.0,stop,breakout,True,36,0,7.0,0.018300047875226353,0.06710364958456759,-1.0671036495845676,XRP
XRP,conservative,long,2025-10-02 08:40:00,2025-10-02 16:10:00,2.9878,3.0292,0.9073121170551899,target_1r_full_close,breakout,True,90,0,7.0,0.015271866089693383,0.08748112327292042,0.8198309937822694,XRP
XRP,conservative,short,2025-10-09 06:55:00,2025-10-09 08:25:00,2.8238,2.7923,0.8146412972007503,target_1r_full_close,breakout,True,18,0,7.0,0.013693365411446232,0.08704945527880324,0.727591841921947,XRP
XRP,conservative,short,2025-10-16 05:25:00,2025-10-16 09:30:00,2.4067,2.3547,0.9446616649706063,target_1r_full_close,breakout,True,49,0,7.0,0.022872050114585454,0.05482674240908239,0.889834922561524,XRP
XRP,conservative,long,2025-10-26 07:10:00,2025-10-26 09:20:00,2.6248,2.6586,0.8559584075121675,target_1r_full_close,breakout,True,26,0,7.0,0.015044155745199685,0.08029696185413733,0.7756614456580301,XRP
XRP,conservative,long,2025-10-28 12:55:00,2025-10-28 20:15:00,2.6635,2.61537825823661,-1.0,stop,breakout,True,88,0,7.0,0.01806710785184528,0.07372513691304258,-1.0737251369130425,XRP
XRP,conservative,short,2025-11-22 10:25:00,2025-11-23 01:30:00,1.9023,1.9762187629362213,-1.0,stop,breakout,True,181,0,7.0,0.03885757395585409,0.039065743057572065,-1.039065743057572,XRP
XRP,conservative,long,2025-11-23 13:55:00,2025-11-24 02:10:00,2.0492,2.0893,0.8223557448984412,target_1r_full_close,breakout,True,147,0,7.0,0.02379579915714,0.06093512516325485,0.7614206197351864,XRP
XRP,conservative,long,2025-11-27 02:40:00,2025-11-27 10:30:00,2.2326,2.187952852420426,-1.0,stop,breakout,True,94,0,7.0,0.019997826560769604,0.06720730354950519,-1.067207303549505,XRP
XRP,conservative,short,2025-12-11 14:25:00,2025-12-11 21:05:00,2.0021,2.033803804568637,-1.0,stop,breakout,True,80,0,7.0,0.015835275245310854,0.083105596815546,-1.083105596815546,XRP
