coin,week,trades,dollar_pnl
SOL,2025-08-12,1,5.3899650695425985
SOL,2025-09-02,1,-15.8346760983563
SOL,2025-09-09,4,55.41706414559232
SOL,2025-09-16,2,53.22094834845139
SOL,2025-09-23,2,33.438541432701015
SOL,2025-10-14,1,5.421001821903544
SOL,2025-10-21,1,-15.925631144291454
SOL,2025-10-28,1,-16.63135832386646
SOL,2025-11-04,1,-12.244601223999291
SOL,2025-11-25,2,-24.582372275070192
SOL,2025-12-02,1,3.702456593381806
SOL,2025-12-09,1,-9.818552140496392
SOL,2025-12-30,1,-9.333694553069812
SOL,2026-01-27,1,68.47202632059445
SOL,2026-02-03,1,5.416164567057247
SOL,2026-02-17,1,52.142081450940694
SOL,2026-02-24,1,27.3005173372127
SOL,2026-03-03,1,19.684773335971943
SOL,2026-03-10,2,4.459524211148381
SOL,2026-03-17,1,-12.865181659174544
SOL,2026-04-28,1,3.187418612562566
SOL,2026-05-05,1,40.72544498096388
SOL,2026-05-19,1,-12.237117035784816
SOL,2026-05-26,1,-23.349922179918583
SOL,2026-06-02,1,19.1740872701303
SOL,2026-06-09,1,19.253379198384387
SOL,2026-06-16,1,21.70101504500459
SOL,2026-06-30,1,19.085975609085047
SOL,2026-07-14,1,4.00710080326395
SOL,2026-07-21,2,0.14015899203572957
SOL,2026-07-28,2,-7.72449332343458
DOGE,2025-08-12,1,1.657323487222502
DOGE,2025-09-09,3,250.8647608639021
DOGE,2025-09-16,1,41.774719476311326
DOGE,2025-09-23,2,-26.265462439557655
DOGE,2025-09-30,2,14.809163461607199
DOGE,2025-10-21,2,25.02053179923577
DOGE,2025-10-28,1,33.16899011256664
DOGE,2025-11-18,1,1.3059218977891938
DOGE,2025-11-25,1,76.922093790128
DOGE,2025-12-23,1,0.37669360505972405
DOGE,2026-01-13,1,0.29041490764274425
DOGE,2026-01-20,1,-2.5601888454907047
DOGE,2026-01-27,1,64.27929726445092
DOGE,2026-02-17,1,-26.13208810557018
DOGE,2026-02-24,1,-25.95798160506243
DOGE,2026-03-03,2,1.4486752479734677
DOGE,2026-03-17,3,-7.365762747865862
DOGE,2026-03-24,2,0.35739699146578696
DOGE,2026-03-31,1,-28.032643789949663
DOGE,2026-04-07,1,-0.5512232980201592
DOGE,2026-04-14,1,-0.0626950520480677
DOGE,2026-04-21,2,-28.447043662622814
DOGE,2026-05-05,1,66.50248339563483
DOGE,2026-05-12,1,-26.49694218035489
DOGE,2026-05-19,2,-54.5485372097336
DOGE,2026-05-26,2,-54.07566518514802
DOGE,2026-06-02,1,128.2996178377384
DOGE,2026-06-09,1,0.1458924551590357
DOGE,2026-06-16,1,0.028703847347180678
DOGE,2026-06-23,1,84.69512738352128
DOGE,2026-06-30,1,12.006269131498934
DOGE,2026-07-07,3,-0.56308775022029
DOGE,2026-07-28,2,-26.9282677725318
ETH,2025-08-05,2,137.97454568244243
ETH,2025-08-12,1,-26.428723285097977
ETH,2025-08-26,1,-22.63680491145158
ETH,2025-09-02,2,-47.80115719978418
ETH,2025-09-09,2,39.44149002360685
ETH,2025-09-16,3,-6.121822690451879
ETH,2025-09-23,3,-41.42655400414455
ETH,2025-09-30,2,7.262984267576986
ETH,2025-10-07,2,119.56952846527946
ETH,2025-10-21,1,75.65140405612838
ETH,2025-10-28,1,41.049069912212204
ETH,2025-11-04,1,28.310639010069234
ETH,2025-11-18,2,11.962558405524621
ETH,2025-11-25,1,3.457742195367565
ETH,2025-12-02,1,2.855038889472862
ETH,2025-12-09,1,-23.11706103633685
ETH,2025-12-16,1,17.710118493730032
ETH,2026-01-06,1,-26.60916486771987
ETH,2026-01-27,2,158.4819552707246
ETH,2026-02-24,1,4.537768566430245
ETH,2026-03-10,1,11.3109241919996
ETH,2026-03-17,3,116.74367138811999
ETH,2026-03-24,1,-19.0877650469511
ETH,2026-03-31,2,-7.851139411481064
ETH,2026-04-07,1,-31.772208539711517
ETH,2026-04-14,3,-37.24706860341138
ETH,2026-04-21,1,-27.83810403806079
ETH,2026-04-28,1,1.8472505520435925
ETH,2026-05-12,3,35.225084998995484
ETH,2026-06-09,2,-24.768845548663485
ETH,2026-06-16,2,-54.81799341532762
ETH,2026-07-07,3,-10.743931272717852
ETH,2026-07-14,1,4.157220305113765
ETH,2026-07-21,1,2.481920332435021
ETH,2026-07-28,1,-26.83347035993967
ALL,2025-08-05,2,137.97
ALL,2025-08-12,3,-19.38
ALL,2025-08-26,1,-22.64
ALL,2025-09-02,3,-63.64
ALL,2025-09-09,9,345.72
ALL,2025-09-16,6,88.87
ALL,2025-09-23,7,-34.25
ALL,2025-09-30,4,22.07
ALL,2025-10-07,2,119.57
ALL,2025-10-14,1,5.42
ALL,2025-10-21,4,84.75
ALL,2025-10-28,3,57.59
ALL,2025-11-04,2,16.07
ALL,2025-11-18,3,13.27
ALL,2025-11-25,4,55.8
ALL,2025-12-02,2,6.56
ALL,2025-12-09,2,-32.94
ALL,2025-12-16,1,17.71
ALL,2025-12-23,1,0.38
ALL,2025-12-30,1,-9.33
ALL,2026-01-06,1,-26.61
ALL,2026-01-13,1,0.29
ALL,2026-01-20,1,-2.56
ALL,2026-01-27,4,291.23
ALL,2026-02-03,1,5.42
ALL,2026-02-17,2,26.01
ALL,2026-02-24,3,5.88
ALL,2026-03-03,3,21.13
ALL,2026-03-10,3,15.77
ALL,2026-03-17,7,96.51
ALL,2026-03-24,3,-18.73
ALL,2026-03-31,3,-35.88
ALL,2026-04-07,2,-32.32
ALL,2026-04-14,4,-37.31
ALL,2026-04-21,3,-56.29
ALL,2026-04-28,2,5.03
ALL,2026-05-05,2,107.23
ALL,2026-05-12,4,8.73
ALL,2026-05-19,3,-66.79
ALL,2026-05-26,3,-77.43
ALL,2026-06-02,2,147.47
ALL,2026-06-09,4,-5.37
ALL,2026-06-16,4,-33.09
ALL,2026-06-23,1,84.7
ALL,2026-06-30,2,31.09
ALL,2026-07-07,6,-11.31
ALL,2026-07-14,2,8.16
ALL,2026-07-21,3,2.62
ALL,2026-07-28,5,-61.49
