coin,week,trades,dollar_pnl
DOGE,2025-08-12,1,1.6593504906770622
DOGE,2025-09-09,3,265.66196338149575
DOGE,2025-09-16,1,41.86779586582463
DOGE,2025-09-23,2,-26.182375478818653
DOGE,2025-09-30,2,15.469746647405945
DOGE,2025-10-21,2,23.257753805765482
DOGE,2025-10-28,1,33.754776972477515
DOGE,2025-11-18,1,1.3277931632789255
DOGE,2025-11-25,1,73.6438503274184
DOGE,2025-12-23,1,0.42030964096256285
DOGE,2026-01-13,1,0.2924583673152258
DOGE,2026-01-20,1,-2.5589688652075155
DOGE,2026-01-27,1,67.413123545041
DOGE,2026-02-17,1,-26.160017509301813
DOGE,2026-02-24,1,-25.957240394648956
DOGE,2026-03-03,2,0.7163835567104634
DOGE,2026-03-17,3,-1.2609071956357312
DOGE,2026-03-24,2,0.1964152334878736
DOGE,2026-03-31,1,-28.024962852318314
DOGE,2026-04-07,1,0.2734438525164595
DOGE,2026-04-14,1,-0.06496513576150463
DOGE,2026-04-21,2,-28.443779760611395
DOGE,2026-05-05,1,69.64891461286975
DOGE,2026-05-12,1,-26.505586953484755
DOGE,2026-05-19,2,-54.50886388726855
DOGE,2026-05-26,2,-54.14624565802433
DOGE,2026-06-02,1,120.9458269630812
DOGE,2026-06-09,1,0.14589260926517572
DOGE,2026-06-16,1,0.031763884579572715
DOGE,2026-06-23,1,88.65249180138673
DOGE,2026-06-30,1,12.296746094633553
DOGE,2026-07-07,3,-2.5072325455193303
DOGE,2026-07-28,2,-26.900855501907508
ALL,2025-08-12,1,1.66
ALL,2025-09-09,3,265.66
ALL,2025-09-16,1,41.87
ALL,2025-09-23,2,-26.18
ALL,2025-09-30,2,15.47
ALL,2025-10-21,2,23.26
ALL,2025-10-28,1,33.75
ALL,2025-11-18,1,1.33
ALL,2025-11-25,1,73.64
ALL,2025-12-23,1,0.42
ALL,2026-01-13,1,0.29
ALL,2026-01-20,1,-2.56
ALL,2026-01-27,1,67.41
ALL,2026-02-17,1,-26.16
ALL,2026-02-24,1,-25.96
ALL,2026-03-03,2,0.72
ALL,2026-03-17,3,-1.26
ALL,2026-03-24,2,0.2
ALL,2026-03-31,1,-28.02
ALL,2026-04-07,1,0.27
ALL,2026-04-14,1,-0.06
ALL,2026-04-21,2,-28.44
ALL,2026-05-05,1,69.65
ALL,2026-05-12,1,-26.51
ALL,2026-05-19,2,-54.51
ALL,2026-05-26,2,-54.15
ALL,2026-06-02,1,120.95
ALL,2026-06-09,1,0.15
ALL,2026-06-16,1,0.03
ALL,2026-06-23,1,88.65
ALL,2026-06-30,1,12.3
ALL,2026-07-07,3,-2.51
ALL,2026-07-28,2,-26.9
