coin,week,trades,dollar_pnl
ETH,2025-08-05,2,140.7644620083829
ETH,2025-08-12,1,-26.423662401693104
ETH,2025-08-26,1,-27.24389624970153
ETH,2025-09-02,2,-47.9330019199688
ETH,2025-09-09,2,30.346391808554685
ETH,2025-09-16,3,-9.976130174453012
ETH,2025-09-23,2,-11.922503837252334
ETH,2025-09-30,3,53.17570520636029
ETH,2025-10-07,2,126.7670306934763
ETH,2025-10-21,1,75.14045068142583
ETH,2025-10-28,1,41.01025082563163
ETH,2025-11-04,1,26.40119891847635
ETH,2025-11-18,2,7.717243239429678
ETH,2025-11-25,1,3.1611016053789984
ETH,2025-12-02,1,3.3669269260407733
ETH,2025-12-09,1,-26.728723398473562
ETH,2025-12-16,1,16.488201766207688
ETH,2026-01-06,1,-26.605792264223037
ETH,2026-01-27,2,153.16422354776503
ETH,2026-02-24,1,-18.555442881710675
ETH,2026-03-10,2,-12.27554153014917
ETH,2026-03-17,2,3.293573962433932
ETH,2026-03-24,1,-17.823466239572156
ETH,2026-03-31,2,-9.093271171842499
ETH,2026-04-07,1,-27.080753706146687
ETH,2026-04-14,3,-7.1867415195073185
ETH,2026-04-28,1,1.852392923190694
ETH,2026-05-12,3,37.5291063913994
ETH,2026-06-09,2,-22.17435168990615
ETH,2026-06-16,2,-54.65783083457304
ETH,2026-07-07,3,-9.113090691175952
ETH,2026-07-14,1,-1.1045677033012007
ETH,2026-07-21,1,2.4844396928522543
ETH,2026-07-28,1,-26.83226511383088
ALL,2025-08-05,2,140.76
ALL,2025-08-12,1,-26.42
ALL,2025-08-26,1,-27.24
ALL,2025-09-02,2,-47.93
ALL,2025-09-09,2,30.35
ALL,2025-09-16,3,-9.98
ALL,2025-09-23,2,-11.92
ALL,2025-09-30,3,53.18
ALL,2025-10-07,2,126.77
ALL,2025-10-21,1,75.14
ALL,2025-10-28,1,41.01
ALL,2025-11-04,1,26.4
ALL,2025-11-18,2,7.72
ALL,2025-11-25,1,3.16
ALL,2025-12-02,1,3.37
ALL,2025-12-09,1,-26.73
ALL,2025-12-16,1,16.49
ALL,2026-01-06,1,-26.61
ALL,2026-01-27,2,153.16
ALL,2026-02-24,1,-18.56
ALL,2026-03-10,2,-12.28
ALL,2026-03-17,2,3.29
ALL,2026-03-24,1,-17.82
ALL,2026-03-31,2,-9.09
ALL,2026-04-07,1,-27.08
ALL,2026-04-14,3,-7.19
ALL,2026-04-28,1,1.85
ALL,2026-05-12,3,37.53
ALL,2026-06-09,2,-22.17
ALL,2026-06-16,2,-54.66
ALL,2026-07-07,3,-9.11
ALL,2026-07-14,1,-1.1
ALL,2026-07-21,1,2.48
ALL,2026-07-28,1,-26.83
