coin,week,trades,dollar_pnl
SOL,2025-08-12,1,-6.707448430295088
SOL,2025-09-02,1,-17.150686861520484
SOL,2025-09-09,3,56.137106388418786
SOL,2025-09-16,2,24.235522349991488
SOL,2025-09-23,2,23.840118542783408
SOL,2025-10-14,1,5.4200126995028555
SOL,2025-10-21,1,-15.879873379730622
SOL,2025-10-28,1,-16.394058824738313
SOL,2025-11-04,1,-11.722791680525878
SOL,2025-11-25,2,-29.361323035172838
SOL,2025-12-02,1,3.925566261878952
SOL,2025-12-09,1,-9.71168658499524
SOL,2025-12-30,1,-8.011880013714881
SOL,2026-01-27,1,65.13362192159967
SOL,2026-02-03,1,5.415778547119
SOL,2026-02-17,1,52.024342073049226
SOL,2026-02-24,1,22.224390025255275
SOL,2026-03-03,1,20.35437301316581
SOL,2026-03-10,2,-0.01458982492841443
SOL,2026-03-17,1,-12.60467067728166
SOL,2026-04-28,1,3.1820498124156082
SOL,2026-05-05,1,37.69420828206426
SOL,2026-05-19,1,-14.217121447374609
SOL,2026-05-26,1,-22.436128060066014
SOL,2026-06-02,1,5.2725208437028845
SOL,2026-06-09,1,4.174106840118792
SOL,2026-06-16,1,20.6824032395154
SOL,2026-06-30,1,3.2689542268924523
SOL,2026-07-14,1,4.075453798540277
SOL,2026-07-21,2,-2.3047563634307373
SOL,2026-07-28,2,-12.169601001473731
ALL,2025-08-12,1,-6.71
ALL,2025-09-02,1,-17.15
ALL,2025-09-09,3,56.14
ALL,2025-09-16,2,24.24
ALL,2025-09-23,2,23.84
ALL,2025-10-14,1,5.42
ALL,2025-10-21,1,-15.88
ALL,2025-10-28,1,-16.39
ALL,2025-11-04,1,-11.72
ALL,2025-11-25,2,-29.36
ALL,2025-12-02,1,3.93
ALL,2025-12-09,1,-9.71
ALL,2025-12-30,1,-8.01
ALL,2026-01-27,1,65.13
ALL,2026-02-03,1,5.42
ALL,2026-02-17,1,52.02
ALL,2026-02-24,1,22.22
ALL,2026-03-03,1,20.35
ALL,2026-03-10,2,-0.01
ALL,2026-03-17,1,-12.6
ALL,2026-04-28,1,3.18
ALL,2026-05-05,1,37.69
ALL,2026-05-19,1,-14.22
ALL,2026-05-26,1,-22.44
ALL,2026-06-02,1,5.27
ALL,2026-06-09,1,4.17
ALL,2026-06-16,1,20.68
ALL,2026-06-30,1,3.27
ALL,2026-07-14,1,4.08
ALL,2026-07-21,2,-2.3
ALL,2026-07-28,2,-12.17
